abound	bugne
abounds	bugner
abundance	overflod
abundant	rigelig
accessible	tilgængelig
acclaim	anerkendelse
acclaimed	anmelderroste
acclamation	akklamation
accolade	hyldest
accolades	anerkendelser
accommodative	lempelige
accomplish	opnå
accomplished	gennemført
accomplishment	realisering
accomplishments	resultater
accurate	nøjagtig
accurately	nøjagtigt
achievable	opnåelige
achievement	præstation
achievements	resultater
acumen	købmandskab
adaptable	tilpasningsdygtige
adaptive	adaptive
adequate	tilstrækkelig
adjustable	justerbar
admirable	beundringsværdig
admirably	beundringsværdigt
admiration	beundring
admire	beundre
admirer	beundrer
admiring	beundrende
admiringly	beundrende
adorable	yndig
adore	tilbede
adored	forgudet
adorer	tilbeder
adoring	tilbedende
adoringly	tilbedende
adroit	behændig
adroitly	behændigt
adulation	beundring
advanced	fremskreden
advantage	fordel
advantageous	fordelagtige
advantageously	fordelagtigt
advantages	fordele
adventuresome	eventyrlystne
adventurous	eventyrlystne
advocate	fortaler
advocated	fortaler
advocates	fortalere
affable	flink
affably	elskværdigt
affectation	krukkeri
affection	kærlighed
affectionate	kærlig
affinity	tilhørsforhold
affirm	bekræfte
affirmation	bekræftelse
affirmative	bekræftende
affluence	overflod
affluent	velhavende
affordable	overkommelige
affordably	billigt
agile	adræt
agility	smidighed
agreeable	behagelig
agreeably	behageligt
alluring	dragende
alluringly	besnærende
altruistic	uselvisk
altruistically	uegennyttigt
amaze	forbløffe
amazed	forbløffet
amazement	forbløffelse
amazes	overrasker
amazing	fantastiske
amazingly	forbavsende
ambitious	ambitiøs
ambitiously	ambitiøst
ameliorate	lindre
amenable	modtagelig
amiable	elskværdig
amicability	venskabelig
amicable	venskabelig
amicably	mindelighed
amity	amity
ample	rigelig
amply	rigeligt
amuse	underholde
amusing	underholdende
angel	engel
angelic	engleblid
apotheosis	apoteose
appeal	appel
appealing	tiltrækkende
applaud	klappe
appreciable	mærkbar
appreciated	værdsat
appreciates	værdsætter
appreciative	anerkendende
appreciatively	anerkendende
appropriate	passende
approval	godkendelse
approve	godkende
ardent	glødende
ardently	brændende
ardor	iver
articulate	artikulere
aspiration	forhåbning
aspirations	forhåbninger
aspire	stræbe
assurance	forsikring
assurances	forsikringer
assure	forsikre
assuredly	sandelig
assuring	sikre
astonish	forbavse
astonished	forbløffet
astonishing	forbavsende
astonishingly	forbavsende
astonishment	forbavselse
astound	forbavse
astounded	forbløffet
astounding	forbløffende
astoundingly	forbavsende
