abound	abonder
abounds	abonde
abundance	abondance
abundant	abondant
accessable	accessible
acclaim	acclamer
acclaimed	acclamé
accommodative	accommodatif
accomodative	accommodant
accomplish	accomplir
accomplished	accompli
accomplishment	accomplissement
accomplishments	réalisations
accurate	précis
achievable	réalisable
achievement	réussite
achievements	réalisations
achievible	réalisable
acumen	perspicacité
adaptive	adaptatif
adequate	adéquat
adjustable	Ajustable
admirably	admirablement
admire	admirer
admirer	admirateur
admiring	admiratif
admiringly	admiratif
adore	adorer
adored	adoré
adorer	adorateur
adoring	adorer
adoringly	adorément
adroitly	adroitement
adulate	aduler
adulatory	adulatoire
advanced	Avancée
advantage	avantage
advantageous	avantageux
advantageously	avantageusement
advantages	avantages
adventuresome	aventureux
adventurous	aventureux
advocate	avocat
advocated	préconisé
advocates	avocats
affability	affabilité
affably	affablement
affectionate	affectueux
affinity	affinité
affirm	affirmer
affluence	richesse
afford	offrir
affordable	abordable
affordably	abordable
agilely	agilement
agility	agilité
agreeable	agréable
agreeableness	agréabilité
agreeably	agréablement
alluring	séduisant
alluringly	séduisant
altruistic	altruiste
altruistically	altruiste
amaze	étonner
amazed	étonné
amazement	stupéfaction
amazes	étonne
amazing	incroyable
amazingly	étonnamment
ambitious	ambitieux
ambitiously	ambitieusement
ameliorate	améliorer
amenable	accommodable
amenity	aménité
amiability	amabilité
amiable	aimable
amicability	amabilité
amicable	amical
amity	amitié
amply	amplement
amuse	amuser
amusing	amusant
amusingly	amusant
angel	ange
angelic	angélique
apotheosis	apothéose
appeal	charme
appealing	attirant
applaud	applaudir
appreciable	appréciable
appreciate	apprécier
appreciated	apprécié
appreciates	apprécie
appreciative	reconnaissant
appreciatively	appréciant
appropriate	approprié
approval	approbation
approve	approuver
ardently	ardemment
ardor	ardeur
articulate	articuler
aspire	aspirer
assure	assurer
assuredly	assurément
assuring	assurer
astonish	étonner
astonished	étonné
astonishing	étonnant
astonishingly	étonnamment
astonishment	étonnement
astound	étonner
astounded	étonné
astounding	étonnant
astoundingly	étonnamment
astutely	astucieusement
attentive	attentif
attractive	attrayant
attune	harmoniser
audibly	audible
authentic	authentique
autonomous	autonome
available	disponible
avid	avide
avidly	avidement
award	prix
awarded	attribué
awards	prix
awe	admiration
awed	impressionné
awesome	impressionnant
awesomely	génialement
awestruck	émerveillé
awsome	impressionnant
balanced	équilibré
beauteous	beau
beautiful	beau
beautifullly	magnifiquement
beautifully	magnifiquement
beautify	embellir
beauty	beauté
beckon	Beckeck
beckoned	attiré
