abound	abundan
abounds	abunda
abundance	abundancia
abundant	abundante
accessable	accesible
accessible	accesible
acclaim	aclamación
acclaimed	aclamado
acclamation	aclamación
accolade	recoñecemento
accolades	recoñecementos
accommodative	acomodativo
accomodative	acomodativo
accomplish	cumprir
accomplished	realizado
accomplishment	realización
accomplishments	logros
accurate	preciso
achievable	alcanzable
achievement	logro
achievements	logros
achievible	alcanzable
acumen	acumen
adaptable	adaptable
adaptive	adaptable
adequate	adecuada
adjustable	axustable
admirable	admirable
admirably	admirablemente
admiration	admiración
admire	admirar
admirer	admirador
admiring	admirando
admiringly	admirablemente
adorable	adorable
adore	adoro
adored	adorado
adorer	adorador
adoring	adorando
adoringly	adorando
adroit	adroit
adroitly	adroitly
adulate	adular
adulation	adulación
adulatory	adulatorio
advanced	avanzado
advantage	vantaxe
advantageous	ventajoso
advantageously	ventajosamente
advantages	vantaxes
adventuresome	aventurero
adventurous	aventurero
advocate	avogado
advocated	defendido
advocates	defensores
affability	afable
affable	afable
affably	afablemente
affectation	afectación
affection	afecto
affectionate	cariñoso
affinity	afinidade
affirm	afirmar
affirmation	afirmación
affirmative	afirmativa
affluence	riqueza
affluent	afluente
afford	pagar
affordable	accesible
affordably	accesible
afordable	afordable
agile	áxil
agilely	agilamente
agility	axilidade
agreeable	agradable
agreeableness	aceptabilidade
agreeably	agradablemente
alluring	fascinante
alluringly	fascinante
altruistic	altruísta
altruistically	altruísticamente
amaze	sorprender
amazed	sorprendido
amazement	asombro
amazes	asombra
amazing	sorprendente
amazingly	sorprendentemente
ambitious	ambicioso
ameliorate	mellorar
amenable	amenable
amenity	comodidade
amiability	amabilidade
amiabily	amiabily
amiable	amable
amicability	amizade
amicable	amigable
amicably	amigablemente
amity	amizade
ample	amplo
amply	amplamente
amuse	divertirse
amusing	divertido
amusingly	divertidamente
angel	anxo
angelic	angélico
apotheosis	apoteose
appeal	apelido
appealing	atractivo
applaud	aplaudir
appreciable	apreciable
appreciate	apreciar
appreciated	apreciado
appreciates	valora
appreciative	apreciado
appreciatively	apreciativa
appropriate	apropiado
approval	aprobación
approve	aprobar
ardent	ardente
ardently	ardientemente
ardor	ardor
articulate	articular
aspiration	aspiración
aspirations	aspiracións
aspire	Aspirar
assurance	garantía
assurances	garantías
assure	asegurar
assuredly	seguro
assuring	asegurando
astonish	asombroso
astonished	asombrado
astonishing	asombroso
astonishingly	sorprendentemente
astonishment	asombro
astound	asombrado
astounded	asombrado
astounding	sorprendente
astoundingly	sorprendentemente
astutely	astutamente
attentive	atento
attraction	atracción
attractive	atractivo
attractively	atractivo
attune	atune
audible	audible
audibly	audiblemente
auspicious	auspicioso
authentic	auténtico
authoritative	autoritario
autonomous	autónomo
available	dispoñible
aver	aver
avid	ávido
avidly	avidamente
award	premio
awarded	galardoado
awards	premios
awe	medo
awed	asustado
awesome	asombroso
awesomely	increíblemente
awesomeness	asombrosa
awestruck	asombrado
awsome	awsome
balanced	equilibrado
bargain	barganha
beauteous	beauteous
beautiful	fermoso
beautifullly	bonito
beautify	embellecer
beauty	beleza
beckon	beckon
beckoned	encargado
beckoning	chamar
beckons	beckons
believable	credível
believeable	creíble
beloved	amado
benefactor	benefactor
beneficent	benéfico
beneficial	beneficioso
beneficially	beneficiosamente
beneficiary	beneficiario
benefit	beneficio
benefits	beneficios
benevolence	benevolencia
benevolent	benevolente
benifits	beneficios
best	mellor
better	mellor
beutifully	beutifully
bless	bendiga
blessing	bendición
bliss	felicidade
blissful	alegre
blissfully	felizmente
blithe	blithe
blockbuster	superproducción
bloom	flor
blossom	florecer
bolster	reforzar
bonny	bonito
bonus	bonus
bonuses	bonos
boom	estrondo
boost	impulsar
bountiful	abundante
brainy	intelixente
brand-new	novo
brave	valente
bravery	valentía
bravo	bravo
breakthrough	avance
breakthroughs	avances
breathtaking	impresionantes
breathtakingly	impresionantes
breeze	brisa
bright	brillante
brighten	alegrar
brilliance	brillo
brilliances	brillantez
brilliant	brillante
brilliantly	brillante
brisk	rápido
brotherly	irmán
bullish	alcista
buoyant	boia
cajole	cajole
calm	calma
calming	calmando
calmness	calma
capability	capacidade
capable	capaz
capably	habilmente
captivate	cautivar
captivating	cativante
carefree	despreocupado
cashback	cashback
cashbacks	cashbacks
catchy	pegadizo
celebrate	celebrar
celebrated	celebrado
celebration	celebración
celebratory	celebratoria
champ	campión
champion	campión
charisma	carisma
charismatic	carismático
charitable	caritativo
charm	encanto
charming	encantador
charmingly	encantadoramente
chaste	castas
cheer	animar
cheerful	alegre
cheery	alegre
cherish	apreciar
cherished	amado
cherub	querube
chic	chic
chivalrous	caballeresco
chivalry	cabalería
civility	civilidade
civilize	civilizar
clarity	claridade
classic	clásico
clean	limpar
cleaner	limpo
cleanliness	limpeza
cleanly	limpo
clear	claro
clear-cut	claro
cleared	borrado
clearly	claramente
clears	limpa
clever	intelixente
cleverly	intelixente
cohere	cohere
coherence	coherencia
coherent	coherente
cohesive	cohesionado
colorful	colorido
comely	comely
comfort	confort
comfortable	cómodo
comfortably	cómodamente
comforting	reconfortante
comfy	cómodo
commend	felicitar
commendable	encomiable
commendably	encomiable
commitment	compromiso
commodious	mercantil
compact	compacto
compactly	compacto
compassion	compaixón
compassionate	compasivo
compatible	compatible
competitive	competitivo
complement	complemento
complementary	complementaria
complemented	complementado
complements	complementos
compliant	compatible
compliment	felicitación
complimentary	gratis
comprehensive	completo
conciliate	conciliar
conciliatory	conciliador
concise	conciso
confidence	confianza
confident	confiado
congenial	congenial
congratulate	felicitar
congratulation	felicitación
congratulations	parabéns
congratulatory	felicitacións
conscientious	consciente
considerate	Grazas
consistent	consistente
constructive	construtivo
consummate	consumado
contentment	contento
continuity	continuidade
contrasty	contraste
contribution	contribución
convenience	conveniencia
convenient	conveniente
conveniently	convenientemente
convience	conveniencia
convienient	convienient
convient	convient
convincing	convincente
convincingly	convincentemente
cool	xenial
cooperative	cooperativa
cooperatively	cooperativamente
correct	correcto
correctly	correctamente
cost-effective	rendible
counter-attack	contraataque
counter-attacks	contraatacs
courage	coraxe
courageous	valente
courageousness	valentía
courteous	cortés
courtly	cortesano
covenant	pacto
cozy	acolledor
creative	creativo
credence	credencia
credible	credível
crisp	crujiente
crisper	criseiro
cure	cura
cushy	cushy
cute	lindo
cuteness	cuteness
danke	danke
danken	danken
daring	atrevido
daringly	audazmente
darling	Cariño
dashing	correndo
dauntless	incómodo
dawn	amanecer
dazzle	deslumbrante
dazzled	deslumbrado
dazzling	deslumbrante
dead-cheap	morto-barato
dead-on	morto-on
decency	decencia
decent	decente
decisive	decisivo
decisiveness	decisividade
dedicated	dedicado
defeat	derrota
defeated	derrotado
defeating	derrotando
defeats	derrotas
defender	defensor
deference	deferencia
deft	deft
deginified	deginificado
delectable	delectable
delicacy	delicadeza
delicate	delicado
delicious	delicioso
delight	pracer
delighted	encantado
delightful	delicioso
delightfully	deliciosamente
delightfulness	delicia
dependable	fiable
deservedly	merecido
deserving	merecedor
desirable	desexable
desiring	desexando
desirous	desexoso
destiny	destino
detachable	desmontable
devout	devoto
dexterous	Dexterous
dexterously	dexterosa
dextrous	dextroso
dignified	digno
dignify	dignificar
dignity	dignidade
diligence	dilixencia
diligent	dilixente
diligently	dilixente
diplomatic	diplomático
distinction	distinción
distinctive	distintivo
distinguished	distinguido
diversified	diversificado
divine	divina
divinely	divinamente
dominate	dominar
dominated	dominado
dominates	domina
dote	dote
dotingly	dotingly
dreamland	dreamland
dumbfounded	estúpido
dumbfounding	estúpido
durable	duradeiro
dynamic	dinámico
eager	ansioso
eagerly	ansiosamente
eagerness	ansia
earnest	serio
earnestly	sinceramente
earnestness	seriedade
ease	facilidade
eased	aliviado
eases	facilita
