abound	abbondare
abounds	abbonda
abundance	abbondanza
abundant	abbondante
accessable	accessibile
accessible	accessibile
acclaim	acclamazione
acclaimed	acclamato
acclamation	acclamazione
accolade	encomio
accolades	riconoscimenti
accommodative	accomodante
accomodative	accomodanti
accomplish	realizzare
accomplished	compiuto
accomplishment	realizzazione
accomplishments	realizzazioni
accurate	preciso
achievable	realizzabile
achievement	realizzazione
achievements	realizzazioni
acumen	acume
adaptable	adattabile
adaptive	adattabile
adequate	adeguato
adjustable	regolabile
admirable	ammirevole
admirably	mirabilmente
admiration	ammirazione
admire	ammirare
admirer	ammiratore
admiring	ammirativo
adorable	adorabile
adore	adorare
adored	adorato
adorer	adoratore
adoring	adorare
adroit	abile
adroitly	abilmente
adulate	adulare
adulation	adulazione
advanced	Avanzate
advantage	vantaggio
advantageous	vantaggioso
advantageously	vantaggiosamente
advantages	vantaggi
adventuresome	avventuroso
adventurous	avventuroso
advocate	avvocato
advocated	sostenuto
advocates	sostenitori
affability	affabilità
affable	affabile
affably	affabile
affectation	affettazione
affection	affetto
affectionate	affettuoso
affinity	affinità
affirm	affermare
affirmation	affermazione
affirmative	affermativa
affluence	affluenza
affluent	affluente
afford	permettersi
affordably	conveniente
agilely	agilmente
agility	agilità
agreeable	piacevole
agreeableness	piacevolezza
agreeably	gradevolmente
alluring	allettante
altruistic	altruistico
altruistically	altruisticamente
amaze	stupire
amazed	stupito
amazement	stupore
amazes	stupisce
amazing	Stupefacente
amazingly	incredibilmente
ambitious	ambizioso
ambitiously	ambiziosamente
ameliorate	migliorare
amenable	docile
amenity	amenità
amiability	amabilità
amiable	amabile
amicable	amichevole
amicably	amichevolmente
amity	amicizia
ample	ampio
amply	ampiamente
amuse	divertire
amusing	divertente
angel	angelo
angelic	angelico
apotheosis	apoteosi
appeal	appello
appealing	attraente
applaud	applaudire
appreciable	apprezzabile
appreciate	apprezzare
appreciated	gradito
appreciates	apprezza
appreciative	riconoscente
appreciatively	apprezzamento
appropriate	adeguata
approval	approvazione
approve	approvare
ardent	ardente
ardently	ardentemente
ardor	ardore
articulate	articolare
aspiration	aspirazione
aspirations	aspirazioni
aspire	aspirare
assurance	garanzia
assurances	assicurazioni
assure	assicurare
assuredly	sicuramente
assuring	assicurando
astonish	stupire
astonished	stupito
astonishing	stupefacente
astonishingly	sorprendentemente
astonishment	stupore
astound	stupire
astounded	sbalordito
astounding	sbalorditivo
astutely	astutamente
attentive	attento
attraction	attrazione
attractive	attraente
attractively	gradevolmente
attune	armonizzare
audible	udibile
audibly	udibile
auspicious	fausto
authentic	autentico
authoritative	autorevole
autonomous	autonomo
aver	asserire
avid	avido
avidly	avidamente
award	premio
awarded	premiato
awards	premi
awe	soggezione
awed	intimorito
awesome	eccezionale
awesomely	incredibilmente
awesomeness	grandiosità
balanced	equilibrato
bargain	affare
beautiful	bellissimo
beautifully	magnificamente
beautify	abbellire
beauty	bellezza
beckon	accennare
beckoned	cenno
beckoning	cenno
beckons	Beckons
believable	credibile
beloved	Amati
benefactor	benefattore
beneficent	benefico
beneficial	benefico
beneficially	beneficamente
beneficiary	beneficiario
benefit	vantaggio
benefits	benefici
benevolence	benevolenza
benevolent	benevolo
best	migliore
best-selling	best-seller
better	meglio
blameless	irreprensibile
bless	benedire
blessing	benedizione
bliss	beatitudine
blissful	beato
blissfully	beatamente
blithe	allegro
bloom	fioritura
blossom	fiorire
bolster	sostenere
bonny	grazioso
bonus	indennità
bonuses	bonus
boost	Incremento
boundless	illimitato
bountiful	munifico
brainy	intelligente
brave	coraggioso
bravery	coraggio
bravo	Bravo
breakthrough	sfondamento
breakthroughs	innovazioni
breathlessness	affanno
breathtaking	mozzafiato
breeze	brezza
bright	luminosa
brighten	rallegrare
brilliance	brillantezza
brilliances	splendori
brilliant	brillante
brilliantly	brillantemente
brisk	vivace
brotherly	fraterno
bullish	rialzista
buoyant	galleggiante
cajole	persuadere
calm	calma
calming	calmante
calmness	quiete
capability	capacità
capable	capace
captivate	affascinare
captivating	travolgente
carefree	spensierato
catchy	orecchiabile
celebrate	celebrare
celebrated	celebre
celebration	celebrazione
celebratory	celebrativo
champ	campione
champion	campione
charisma	carisma
charismatic	carismatico
charitable	caritatevole
charm	fascino
charming	affascinante
charmingly	affascinante
chaste	casto
cheer	rallegrare
cheerful	allegro
cheery	allegro
cherish	accarezzare
cherished	caro
cherub	cherubino
chic	elegante
chivalrous	cavalleresco
chivalry	cavalleria
civility	civiltà
civilize	civilizzare
clarity	chiarezza
classic	classico
clean	pulito
cleanest	pulito
cleanliness	pulizia
cleanly	pulito
clear	chiaro
clear-cut	netto
cleared	eliminato
clearly	chiaramente
clears	cancella
clever	intelligente
cleverly	abilmente
coherence	coerenza
coherent	coerente
cohesive	coesivo
colorful	colorato
comely	avvenente
comfortable	confortevole
comfortably	comodamente
comforting	confortante
comfy	comodo
commend	lodare
commendable	lodevole
commendably	lodevolmente
commitment	impegno
commodious	spazioso
compact	compatto
compactly	compattamente
compassion	compassione
compassionate	compassionevole
compatible	compatibile
competitive	competitivo
complement	complemento
complementary	complementare
complemented	completato
complements	complementi
compliant	conforme
compliment	complimento
comprehensive	globale
conciliate	conciliare
conciliatory	conciliativo
concise	conciso
confidence	fiducia
confident	fiducioso
congenial	congeniale
congratulation	congratulazione
congratulations	complimenti
congratulatory	congratulazioni
conscientious	coscienzioso
considerate	premuroso
consistent	coerente
consistently	costantemente
constructive	costruttivo
consummate	consumato
contentment	contentezza
continuity	continuità
contrasty	contrastata
contribution	contributo
convenience	convenienza
convenient	conveniente
conveniently	opportunamente
convincing	convincente
convincingly	convincente
cool	freddo
coolest	cool
cooperative	cooperativa
cooperatively	cooperativo
correct	corretta
correctly	correttamente
counter-attack	contrattacco
counter-attacks	Contropiede
courage	coraggio
courageous	coraggioso
courageously	coraggiosamente
courteous	Cortese
courtly	cerimonioso
covenant	patto
cozy	accogliente
creative	creativo
credence	credito
credible	credibile
crisp	croccante
cure	cura
cure-all	toccasana
cushy	comodo
cute	carina
cuteness	carineria
danken	Danken
daring	audace
daringly	audacemente
darling	tesoro
dashing	focoso
dauntless	intrepido
dawn	alba
dazzle	abbagliamento
dazzled	abbagliato
dazzling	abbagliante
dead-cheap	dead-economico
dead-on	morto
decency	decenza
decent	decente
decisive	decisivo
decisiveness	risolutezza
dedicated	dedito
defeated	sconfitto
defeating	sconfiggendo
defeats	sconfitte
defender	difensore
deference	deferenza
deft	abile
delectable	delizioso
delicacy	delicatezza
delicate	delicato
delicious	delizioso
delight	diletto
delighted	Contentissimo
delightful	delizioso
delightfully	deliziosamente
delightfulness	piacevolezza
dependable	affidabile
deservedly	meritatamente
deserving	meritevole
desirable	auspicabile
desiring	desiderando
desirous	desideroso
destiny	destino
detachable	staccabile
devout	devoto
dexterous	abile
dexterously	destramente
dextrous	abile
dignified	dignitoso
dignify	nobilitare
dignity	dignità
diligence	diligenza
diligent	diligente
diligently	diligentemente
diplomatic	diplomatico
distinction	distinzione
distinctive	distintivo
distinguished	distinto
diversified	variegato
divinely	divinamente
dominate	dominare
dominated	dominato
dominates	domina
dumbfounded	interdetto
durable	durevole
dynamic	dinamico
eager	desideroso
eagerly	avidamente
eagerness	impazienza
earnest	serio
earnestly	ardentemente
earnestness	serietà
ease	alleviare
eased	facilitato
eases	facilita
easiness	facilità
easing	facilitando
easy	facile
easygoing	affabile
ebullient	bollente
economical	economico
ecstasies	estasi
ecstasy	estasi
ecstatic	estatico
ecstatically	estaticamente
edify	edificare
educated	educato
effective	efficace
effectively	efficacemente
effectiveness	efficacia
effectual	efficace
efficacious	efficace
efficient	efficiente
effusion	versamento
effusive	espansivo
effusively	effusione
elan	Elan
elate	inebriare
elated	euforico
elation	euforia
electrify	elettrificare
elegance	eleganza
elegant	elegante
elegantly	elegantemente
elevate	elevare
eloquence	eloquenza
eloquent	eloquente
eloquently	eloquentemente
embolden	incoraggiare
eminence	eminenza
eminent	eminente
empathize	empatizzare
empathy	empatia
empower	autorizzare
empowerment	l'empowerment
enchant	incantare
enchanted	incantata
enchanting	incantevole
enchantingly	incantevolmente
encourage	incoraggiare
encouragement	incoraggiamento
encouraging	incoraggiante
encouragingly	incoraggiante
