abound	florerer
abounds	overflod
abundance	overflod
abundant	rikelig
accessable	tilgjengeleg
accessible	tilgjengelig
acclaim	anerkjennelse
acclaimed	roste
acclamation	akklamasjon
accolade	utmerkelse
accolades	utmerkelser
accomplish	utrette
accomplished	oppnås
accomplishment	gjennomføring
accomplishments	prestasjoner
accurate	korrekt
accurately	nøyaktig
achievable	oppnåelig
achievement	oppnåelse
achievements	prestasjoner
acumen	sans
adaptable	tilpasningsdyktig
adequate	tilstrekkelig
adjustable	regulerbar
admirable	beundringsverdig
admirably	beundringsverdig
admiration	beundring
admire	beundre
admirer	beundrer
admiring	beundrer
admiringly	beundrende
adorable	bedårende
adore	elsker
adored	beundret
adroit	behendig
adulation	smiger
advanced	avansert
advantage	fordel
advantageous	fordelaktige
advantages	fordeler
adventuresome	adventure
adventurous	eventyrlig
advocate	advokat
advocates	talsmenn
affable	omgjengelige
affectation	jåleri
affection	kjærlighet
affectionate	kjærlig
affinity	affinitet
affirm	bekrefte
affirmation	bekreftelse
affirmative	bekreftende
affluence	velstand
affluent	velstående
affordable	rimelig
affordably	rimelig
agile	smidig
agility	smidighet
agreeable	behagelig
alluring	forlokkende
altruistic	altruistiske
altruistically	altruistisk
amaze	forbause
amazed	overrasket
amazement	undring
amazes	forundrer
amazing	fantastisk
amazingly	utrolig
ambitious	ambisiøs
ambitiously	ambisiøst
ameliorate	bøte
amenable	mottagelig
amiability	elskverdighet
amiable	elskverdig
amicable	minnelig
amicably	minnelighet
ample	rikelig
amply	rikelig
amuse	underholde
amusing	morsomt
angel	engel
angelic	engleaktig
apotheosis	apoteose
appeal	anke
appealing	tiltrekkende
applaud	klappe
appreciable	nevne
appreciated	verdsatt
appreciates	verds
appreciative	takknemlig
appreciatively	anerkjenn
appropriate	passende
approval	godkjenning
approve	vedta
ardent	ildfull
ardently	inderlig
ardor	iver
articulate	artikulere
aspiration	aspirasjon
aspirations	ambisjoner
aspire	strebe
assurance	forsikring
assurances	forsikringer
assure	forsikrer
assuredly	Sannelig
assuring	sikre
astonish	forbause
astonished	forbauset
astonishing	forbausende
astonishingly	forbausende
astonishment	forbauselse
astound	forbløffe
astounded	forbløffet
astounding	forbløffende
astoundingly	forbløffende
attentive	oppmerksomme
attraction	tiltrekning
attractive	attraktiv
attractively	attraktivt
audible	hørbar
audibly	hørbart
authentic	autentisk
authoritative	autoritær
autonomous	autonom
available	tilgjengelig
avidly	ivrig
award	tildele
awarded	tildelt
awards	utmerkelser
awe	ærefrykt
awesome	Rått
backbone	ryggrad
balanced	balanserte
bargain	handel
beauteous	skjønne
beautiful	vakker
beautifully	vakkert
