abounds	vimlar
abundance	överflöd
abundant	riklig
accessable	uppsättningar
accessible	tillgänglig
acclaim	hylla
acclaimed	hyllade
acclamation	acklamation
accolades	hyllningar
accommodative	ackommoderande
accomplish	utföra
accomplished	skicklig
accomplishment	prestation
accomplishments	prestationer
accurate	exakt
accurately	exakt
achievable	uppnåe
achievement	prestation
achievements	prestationer
acumen	mannaskap
adaptable	anpassbar
adaptive	adaptiv
adequate	tillräcklig
adjustable	justerbar
admirable	beundransvärd
admirably	föredömligt
admiration	beundran
admire	beundra
admirer	beundrare
admiring	beundrande
adorable	förtjusande
adore	älska
adored	ädla
adorer	tillbedjare
adoring	beundrande
adroit	skicklig
adroitly	skickligt
adulatory	smickrande
advanced	Avancerad
advantage	fördel
advantageous	fördelaktig
advantageously	fördel
advantages	fördelar
adventuresome	adventure
adventurous	äventyrlig
advocate	förespråkare
advocated	förespråkade
advocates	förespråkar
affability	vänlighet
affable	förbindlig
affably	förbindligt
affectation	tillgjordhet
affection	tillgivenhet
affectionate	öm
affinity	affinitet
affirm	bekräfta
affirmation	bekräftelse
affirmative	korrekt
affluence	välstånd
affluent	rik
afford	råd
affordable	prisvärd
agile	vig
agilely	vigt
agility	rörlighet
agreeable	angenäm
agreeableness	behag
agreeably	angenämt
alluring	lockande
alluringly	lockande
altruistic	altruistisk
altruistically	altruistiskt
amaze	förvåna
amazed	förvånad
amazement	häpnad
amazes	förvånar
amazing	fantastiskt
amazingly	otroligt
ambitious	ambitiös
ameliorate	förbättra
amenable	mottaglig
amenity	facilitet
amiability	älskvärdhet
amiable	älskvärd
amicability	VÄNSKAPLIGHET
amicable	vänskaplig
amity	vänskap
ample	riklig
amply	rikligt
amuse	roa
amusing	rolig
amusingly	roande
angel	ängel
angelic	änglalik
apotheosis	apoteos
appeal	överklagande
appealing	lockande
applaud	applådera
appreciable	märkbar
appreciate	uppskatta
appreciated	uppskattad
appreciates	uppskattar
appreciative	uppskattande
appreciatively	uppskattande
appropriate	lämplig
approval	godkännande
approve	godkänna
ardent	ivrig
ardently	ivrigt
ardor	glöd
articulate	artikulera
aspiration	strävan
aspirations	strävanden
aspire	sträva
assurance	försäkran
assurances	försäkringar
assure	försäkra
assuredly	förvisso
assuring	säkerställa
astonish	förvåna
astonished	förvånad
astonishing	förvånande
astonishingly	förvånansvärt
astonishment	förvåning
astounded	förbluffad
astounding	förvånande
astoundingly	förbluffande
attentive	uppmärksam
attraction	attraktion
attractive	attraktiv
attractively	attraktivt
attune	tona
audible	hörbar
audibly	hörbart
auspicious	gynnsam
authentic	äkta
authoritative	auktoritativ
autonomous	autonom
available	tillgängliga
avid	ivrig
award	tilldela
awarded	tilldelats
awards	utmärkelser
awe	vördnad
awesomeness	häftighet
backbone	ryggrad
balanced	balanserad
bargain	förhandla
beautiful	skön
beautifully	vackert
beautify	försköna
beauty	skönhet
beckons	lockar
believable	trovärdig
beloved	älskad
benefactor	välgörare
beneficent	välgörande
beneficial	välgörande
beneficially	fördel
beneficiary	förmånstagare
benefits	fördelar
benevolence	välvilja
benevolent	välvillig
benifits	Fördelar
best	bäst
best-selling	bästsäljare
better	bättre
blameless	oskyldig
bless	välsigna
blessing	välsignelse
bliss	salighet
blissful	lycksalig
blissfully	lyckligt
blithe	munter
bloom	blomma
blossom	blomma
bolster	stödja
bonuses	bonus
boom	bom
booming	blomstrande
boost	lyft
boundless	gränslös
bountiful	riklig
brainiest	smartast
brainy	begåvad
brave	modig
bravery	mod
breakthrough	genombrott
breakthroughs	genombrott
breathlessness	andfåddhet
breathtaking	hisnande
breathtakingly	ringade
breeze	bris
bright	ljus
brighten	ljusna
brighter	ljusare
brightest	ljusaste
brilliance	briljans
brilliant	lysande
brilliantly	briljant
brisk	rask
brotherly	broderlig
bullish	hausse
buoyant	flytande
calm	lugna
calming	lugnande
calmness	stillhet
capability	förmåga
capable	kapabel
capably	DUGLIGT
captivate	fängsla
captivating	fängslande
carefree	sorglös
celebrate	fira
celebrated	berömd
celebration	firande
celebratory	högtidlig
champ	mästare
champion	mästare
charisma	karisma
charismatic	karismatiska
charitable	välgörande
charming	charmig
charmingly	greenen
chaste	kysk
cheaper	billigare
cheapest	billigaste
cheerful	glad
cheery	glad
cherish	vårda
cherished	omhuldade
cherub	kerub
chivalrous	ridderlig
chivalry	ridderlighet
civility	hövlighet
civilize	civilisera
clarity	klarhet
classic	klassisk
classy	flott
clean	rena
cleaner	rengöringsmedel
cleanest	renaste
cleanliness	renlighet
cleanly	rent
clear	klar
clear-cut	entydig
cleared	rensas
clearer	klarare
clearly	klart
clears	rensar
clever	duktig
cleverly	skickligt
cohere	Cohere
coherence	sammanhang
coherent	sammanhängande
cohesive	sammanhängande
colorful	färgrik
comfort	bekvämlighet
comfortable	bekväm
comfortably	bekvämt
comforting	tröstande
comfy	bekväm
commend	berömma
commendable	beröm
commendably	förtjänst
commitment	engagemang
commodious	rymlig
compact	kompakt
compactly	kompakt
compassion	medlidande
compassionate	medlidsam
compatible	kompatibel
competitive	konkurrenskraftig
complement	komplement
complementary	komplementär
complemented	kompletteras
complements	komplement
compliant	kompatibel
compliment	komplimang
complimentary	kostnadsfri
comprehensive	omfattande
conciliate	blidka
conciliatory	försonlig
concise	koncis
confidence	förtroende
confident	självsäker
congenial	sympatisk
congratulate	gratulera
congratulation	lyckönskan
congratulations	Grattis
congratulatory	gratulations
conscientious	samvetsgrann
considerate	omtänksam
consistent	konsekvent
consistently	konsekvent
constructive	konstruktiv
consummate	fullborda
contentment	belåtenhet
continuity	kontinuitet
contribution	bidrag
convenience	bekvämlighet
convenient	bekväm
conveniently	bekvämt
convienient	Good
convincing	övertygande
convincingly	övertygande
cool	Häftigt
coolest	kallast
cooperative	kooperativ
cooperatively	samverkande
cornerstone	hörnsten
correct	korrekt
correctly	korrekt
cost-effective	kostnadseffektiv
cost-saving	kostnadsbesparing
counter-attack	motattack
counter-attacks	motattacker
courage	mod
courageous	modig
courageously	modigt
courteous	artig
courtly	hövisk
covenant	förbund
cozy	mysigt
creative	kreativ
credence	tilltro
credible	trovärdig
crisp	knaprig
crisper	skarpare
cure	bota
cure-all	UNIVERSALMEDEL
cute	söt
danken	Danken
daring	vågad
darling	Älskling
dashing	käck
dauntless	oförfärad
dawn	gryning
dazzle	blända
dazzled	bländas
dazzling	bländande
decency	anständighet
decent	anständig
decisive	avgörande
decisiveness	beslutsamhet
dedicated	tillägnad
defeat	nederlag
defeated	besegras
defeating	besegra
defeats	förluster
defender	försvarare
deference	aktning
deft	skicklig
delectable	ljuvlig
delicacy	delikatess
delicate	delikat
delicious	utsökt
delight	glädje
delighted	förtjust
delightful	härlig
delightfully	härligt
dependable	pålitlig
dependably	pålitligt
deservedly	välförtjänt
deserving	förtjänar
desirable	önskvärd
desiring	önskar
desirous	lysten
destiny	Öde
detachable	avtagbar
devout	from
dexterous	skicklig
dignified	värdig
dignify	hedra
dignity	värdighet
diligence	flit
diligent	flitig
diligently	flitigt
diplomatic	diplomatisk
distinction	åtskillnad
distinctive	särskiljande
distinguished	distingerad
diversified	diversifierad
divine	gudomlig
divinely	gudom
dominate	dominera
dominated	dominerade
dominates	dominerar
dreamland	drömland
dumbfounded	förstummad
dummy-proof	dummy-bevis
durable	hållbar
dynamic	dynamisk
eager	ivrig
eagerly	ivrigt
eagerness	iver
earnest	allvarlig
earnestly	ärligt
earnestness	allvar
ease	lätthet
eased	lättade
eases	lättar
easier	lättare
easiest	enklaste
easiness	lätthet
easy	lätt
easygoing	Lättsam
ebullient	sprudlande
economical	ekonomisk
ecstasies	extaser
ecstasy	extas
ecstatic	extatisk
edify	uppbygga
educated	utbildad
effective	effektiv
effectively	effektivt
effectiveness	effektivitet
effectual	verkningsfull
efficacious	effektiv
efficient	effektiv
efficiently	effektivt
effortless	enkel
effortlessly	ansträngning
effusion	utgjutning
effusive	svallande
effusiveness	kryperi
elated	upprymd
elation	upprymdhet
electrify	elektrifiera
elegance	elegans
elegantly	elegant
elevate	upphöja
elite	elit
eloquence	vältalighet
eloquent	vältalig
eminence	höjd
empathy	empati
empower	bemyndiga
empowerment	bemyndigande
enchant	tjusa
enchanted	förtrollad
enchanting	förtjusande
encourage	uppmuntra
encouragement	uppmuntran
encouraging	uppmuntrande
encouragingly	uppmuntrande
endearing	älskvärd
endorse	stödja
endorsed	godkändes
endorsement	godkännande
endorses	Endorses
endorsing	godkänna
energetic	energisk
energy-efficient	energieffektiva
engaging	engagerande
engrossing	fängslande
enhance	förbättra
enhanced	förbättrad
enhancement	förbättring
enhances	förbättrar
enjoyable	trevlig
enjoyed	åtnjöt
enjoying	njuter
enjoyment	njutning
enjoys	åtnjuter
enlighten	upplysa
enlightenment	upplysning
ennoble	förädla
enough	tillräckligt
enrapture	HÄNFÖRA
enraptured	hänförd
enrich	berika
enrichment	berikning
enterprising	företagsam
entertain	underhålla
entertaining	underhållande
entertains	roar
enthral	fängsla
enthrall	fängsla
enthralled	trollbundit
enthuse	entusiasmera
enthusiasm	entusiasm
enthusiast	entusiast
enthusiastic	entusiastisk
enthusiastically	entusiastiskt
entice	locka
enticed	lockas
enticing	lockande
entranced	hänförd
entrust	anförtro
enviable	avundsvärd
envious	avundsjuk
enviously	avundsjukt
envy	avundas
equitable	rättvis
ergonomical	ergonomisk
err-free	fela-fri
erudite	lärd
ethical	etisk
eulogize	lovprisa
euphoria	eufori
euphoric	euforisk
euphorically	euforiskt
evaluative	evaluerande
evenly	jämnt
eventful	händelserikt
everlasting	evighet
evocative	suggestiva
exalt	upphöja
exaltation	upphöjelse
exalted	upphöjd
exalting	upphöjer
examplary	exemplifierande
exceed	överstiga
exceeded	överskridits
exceeding	överstiger
exceedingly	ytterst
exceeds	överstiger
excelent	Thanks
excellant	would
excelled	utmärkte
excellence	förträfflighet
excellency	excellens
excellently	utmärkt
excels	utmärker
exceptional	exceptionell
exceptionally	exceptionellt
excite	excitera
excited	upphetsad
excitedly	ivrigt
excitement	spänning
excites	exciterar
exciting	spännande
excitingly	spännande
exemplary	exemplarisk
exhilarating	uppiggande
exhilaration	upprymdhet
exonerate	befria
expansive	expansiv
expeditiously	snabbt
expertly	kunnigt
exquisite	utsökt
exquisitely	utsökt
extol	prisa
extraordinarily	utomordentligt
exuberance	överflöd
exuberant	sprudlande
exuberantly	översvallande
exult	jubla
exultant	jublande
exultation	jubel
eye-catch	eye-fångst
eye-catching	iögonfallande
fabulous	fantastisk
fabulously	fantastiskt
facilitate	främja
fair	rättvis
fairly	ganska
fairness	rättvisa
faith	tro
faithful	trogen
faithfully	troget
faithfulness	trofasthet
fame	berömmelse
famed	berömd
famous	känd
famously	ökänt
fancier	snyggare
fancy	fint
fanfare	fanfar
fans	fläktar
fantastic	fantastisk
fantastically	fantastiskt
fascinate	fascinera
fascinating	fascinerande
fascinatingly	fascinerande
fashionable	modern
fast	snabb
fast-growing	Snabbväxande
fast-paced	snabb
faster	snabbare
fastest	snabbast
faultless	felfri
favor	förmån
favorable	gynnsam
favored	gynnade
favorite	favorit-
favorited	favorit
favour	förmån
fearless	orädd
fearlessly	orätt
feasible	möjlig
feat	bedrift
feature-rich	funktionsrik
feisty	lättretlig
felicitous	lyckad
felicity	sällhet
fertile	bördig
fervent	brinnande
fervently	innerligt
fervid	glödande
fervor	glöd
festive	festlig
fidelity	trohet
fiery	eldig
fine	bra
fine-looking	snygg
finely	fint
finer	finare
finest	finaste
firmer	fastare
first-in-class	först-in-class
first-rate	förstklassig
flashy	prålig
flatter	smickra
flattering	smickrande
flawless	felfri
flawlessly	felfritt
flexibility	flexibilitet
flexible	flexibel
flourish	frodas
flourishing	blomstrande
fluent	flytande
flutter	fladdra
fondly	ömt
fondness	förkärlek
foolproof	idiotsäker
foremost	främst
foresight	framsynthet
formidable	formidabel
fortitude	mod
fortuitous	tillfällig
fortuitously	slump
fortunately	Lyckligtvis
fortune	förmögenhet
fragrant	doftande
free	fri
freed	befriad
freedom	frihet
freedoms	friheter
fresh	färsk
fresher	fräschare
freshest	färskaste
friendliness	vänlighet
friendly	vänlig
frolic	upptåg
frugal	sparsam
fruitful	givande
fulfillment	uppfyllelse
fun	roligt
futuristic	trogen
gaiety	glädje
gaily	glatt
gain	få
gained	vunnits
gainful	förvärvs
gainfully	förvärvs
gaining	få
gains	vinster
gallant	galant
geeky	nördig
gem	pärla
gems	pärlor
generosity	generositet
generous	generös
generously	generöst
genial	gemytlig
genius	geni
gentle	mild
gentlest	mild
genuine	äkta
gifted	begåvad
gladden	glädja
gladly	gärna
gladness	glädje
glamorous	glamorös
glee	glädje
gleeful	munter
gleefully	glatt
glimmer	glimma
glimmering	glittrande
glisten	glittra
glistening	blänkande
glitz	glitter
glorify	förhärliga
glorious	härlig
glory	ära
glow	glöd
glowing	lysande
god-given	gudsgiven
god-send	gudagåva
godlike	gudalik
godsend	gudagåva
gold	guld-
golden	gyllene
good	Bra
goodly	ansenlig
goodness	godhet
gorgeous	underbar
grace	nåd
graceful	graciös
gracefully	graciöst
gracious	nådig
graciously	älskvärt
grand	stor
grandeur	prakt
grateful	tacksam
gratefully	tacksamt
gratification	tillfredsställelse
gratifies	tillfreds
gratifying	glädjande
gratifyingly	glädjande
gratitude	tacksamhet
great	bra
greatest	störst
greatness	storhet
grin	flin
groundbreaking	banbrytande
guarantee	garanti
guidance	vägledning
guiltless	oskyldig
gush	välla
gusto	välbehag
hail	hagel
hale	frisk
hallmark	kännemärke
hallmarks	kännetecken
hallowed	helgat
handsome	stilig
handsomely	vackert
handy	praktisk
happier	lyckligare
happily	lyckligt
happiness	lycka
happy	Lycklig
hardier	härdigare
hardy	härdig
harmless	ofarlig
harmonious	harmonisk
harmoniously	harmoniskt
harmonize	harmonisera
harmony	harmoni
headway	framsteg
heal	läka
healthful	hälsosam
healthy	friska
heartening	uppmuntrande
heartfelt	innerlig
heartily	varmt
heartwarming	hjärtvärmande
heaven	himmel
heavenly	himmelskt
helped	hjälpte
helpful	hjälpsam
helping	portion
hero	hjälte
heroic	heroisk-
heroine	hjältinna
high-spirited	uppsluppen
hilarious	munter
holy	helig
homage	hyllning
honest	ärlig
honesty	ärlighet
honor	ära
honorable	hedrande
honored	hedrad
honoring	hedrar
hooray	hurra
hopeful	hoppfull
hospitable	gästfri
hot	varm
hottest	hetast
hug	kram
humane	human
humble	ödmjuk
humility	ödmjukhet
humor	humör
humorous	humoristisk
humorously	humoristiskt
humour	humör
humourous	humoristisk
ideal	idealisk
idealize	idealisera
ideally	idealt
idolize	avguda
idyllic	idyllisk
illuminate	belysa
illuminating	Illuminating
illumine	upplysa
illustrious	lysande
imaginative	fantasifull
immaculate	obefläckad
immaculately	oklanderligt
immense	enorma
impartial	opartisk
impartiality	opartiskhet
impartially	opartiskt
impassioned	passionerad
impeccable	oklanderlig
impeccably	oklanderligt
important	Viktig
impressed	imponerad
impresses	imponerar
impressive	imponerande
impressively	imponerande
improve	förbättra
improved	förbättrad
improvement	förbättring
improvements	förbättringar
improves	förbättrar
improving	förbättra
incredible	otrolig
incredibly	oerhört
indebted	skuldsatt
individualized	individualiserad
indulgence	flathet
indulgent	eftergiven
industrious	arbetsam
inestimable	ovärderlig
inexpensive	billig
infallibility	ofelbarhet
infallible	ofelbar
infallibly	ofelbart
influential	inflytelserik
ingenious	genial
ingeniously	sinnrikt
ingenuity	påhittighet
ingenuous	naiv
ingenuously	naivt
innocuous	ofarlig
innovative	innovativ
insightful	insiktsfull
insightfully	insikts
inspirational	inspirera
inspire	inspirera
inspiring	inspirerande
instantly	omedelbart
instructive	lärorik
integral	väsentlig
integrated	integrerad
intelligence	intelligens
intelligible	begriplig
interesting	intressant
interests	intressen
intimacy	intimitet
intimate	intim
intricate	invecklad
intrigue	intrig
