<s> Food was excellent , I only missed good coffee .. I enjoyed especially	and cakes . </s>	home made pastry	1
<s> Food was excellent , I only missed good coffee .. I enjoyed especially home made pastry and	. </s>	cakes	1
<s>	for families with children and another one for a relax . </s>	The swimming pool	1
<s>	for families with children and another one for a relax . </s>	The swimming pool	1
<s> Also	every evening was very good . </s>	" fitness " choice of food	1
<s> Also	every evening was very good . </s>	" fitness " choice of food	1
<s>	which we could take for a short trip were in very bad conditions . </s>	The bikes	0
<s> I can recommend	. </s>	this hotel	1
<s> Food was excellent , I only missed	.. I enjoyed especially home made pastry and cakes . </s>	good coffee	0
<s>	was excellent , I only missed good coffee .. I enjoyed especially home made pastry and cakes . </s>	Food	1
<s> To enter	& B you have to climb 20 steps to reach the first floor , so the B & B is less accustomed to handicapped people . </s>	the B & B	0
<s> To enter	& B you have to climb 20 steps to reach the first floor , so the B & B is less accustomed to handicapped people . </s>	the B & B	0
<s> It is part of an old palazzo , recently renovated and adjusted to modern standards ( including free	) . </s>	wifi	1
<s> It is part of an old palazzo , recently renovated and adjusted to modern standards ( including free	) . </s>	wifi	1
<s> Very recommendable B & B with extremely kind	</s>	staff	1
<s> Although the entrance of the building is in front of the Via di Pantaneto , a road with less traffic ,	are at the rear with a splendid view at Siena ’s countryside . </s>	nearly all rooms	1
<s> There is no elevator , but	( a young couple ) are very willing to help you with your luggage . </s>	the owners	1
<s> Very recommendable	& B with extremely kind staff </s>	B & B	1
<s> Although	of the building is in front of the Via di Pantaneto , a road with less traffic , nearly all rooms are at the rear with a splendid view at Siena ’s countryside . </s>	the entrance	1
<s>	is part of an old palazzo , recently renovated and adjusted to modern standards ( including free wifi ) . </s>	It	1
<s>	is part of an old palazzo , recently renovated and adjusted to modern standards ( including free wifi ) . </s>	It	1
<s>	is part of an old palazzo , recently renovated and adjusted to modern standards ( including free wifi ) . </s>	It	1
<s> There is no	, but the owners ( a young couple ) are very willing to help you with your luggage . </s>	elevator	0
<s>	, really small small , no place to hang something more than two shirts . </s>	size of the room	0
<s>	, really small small , no place to hang something more than two shirts . </s>	size of the room	0
<s> It 's not	. </s>	negative review	1
<s> Location : just crossing the roads there are plenty of very good	at affordable prices . </s>	restaurants	1
<s> Location : just crossing the roads there are plenty of very good	at affordable prices . </s>	restaurants	1
