<s> Food was excellent , I only missed good coffee .. I enjoyed especially	and cakes . </s>	home made pastry	2
<s> Food was excellent , I only missed good coffee .. I enjoyed especially home made pastry and	. </s>	cakes	2
<s>	for families with children and another one for a relax . </s>	The swimming pool	2
<s>	for families with children and another one for a relax . </s>	The swimming pool	2
<s> Also	every evening was very good . </s>	" fitness " choice of food	3
<s> Also	every evening was very good . </s>	" fitness " choice of food	2
<s>	which we could take for a short trip were in very bad conditions . </s>	The bikes	0
<s> I can recommend	. </s>	this hotel	2
<s> Food was excellent , I only missed	.. I enjoyed especially home made pastry and cakes . </s>	good coffee	1
<s>	was excellent , I only missed good coffee .. I enjoyed especially home made pastry and cakes . </s>	Food	3
<s> To enter	& B you have to climb 20 steps to reach the first floor , so the B & B is less accustomed to handicapped people . </s>	the B & B	1
<s> To enter	& B you have to climb 20 steps to reach the first floor , so the B & B is less accustomed to handicapped people . </s>	the B & B	1
<s> It is part of an old palazzo , recently renovated and adjusted to modern standards ( including free	) . </s>	wifi	2
<s> It is part of an old palazzo , recently renovated and adjusted to modern standards ( including free	) . </s>	wifi	2
<s> Very recommendable B & B with extremely kind	</s>	staff	3
<s> Although the entrance of the building is in front of the Via di Pantaneto , a road with less traffic ,	are at the rear with a splendid view at Siena ’s countryside . </s>	nearly all rooms	3
<s> There is no elevator , but	( a young couple ) are very willing to help you with your luggage . </s>	the owners	3
<s> Very recommendable	& B with extremely kind staff </s>	B & B	3
<s> Although	of the building is in front of the Via di Pantaneto , a road with less traffic , nearly all rooms are at the rear with a splendid view at Siena ’s countryside . </s>	the entrance	2
<s>	is part of an old palazzo , recently renovated and adjusted to modern standards ( including free wifi ) . </s>	It	2
<s>	is part of an old palazzo , recently renovated and adjusted to modern standards ( including free wifi ) . </s>	It	2
<s>	is part of an old palazzo , recently renovated and adjusted to modern standards ( including free wifi ) . </s>	It	2
<s> There is no	, but the owners ( a young couple ) are very willing to help you with your luggage . </s>	elevator	1
<s>	, really small small , no place to hang something more than two shirts . </s>	size of the room	1
<s>	, really small small , no place to hang something more than two shirts . </s>	size of the room	0
<s> It 's not	. </s>	negative review	2
<s> Location : just crossing the roads there are plenty of very good	at affordable prices . </s>	restaurants	2
<s> Location : just crossing the roads there are plenty of very good	at affordable prices . </s>	restaurants	2
<s> Location : just crossing the roads there are plenty of very good	at affordable prices . </s>	restaurants	3
<s> You just cross the boulevar du Periferique and you are in	or public transportation . </s>	zone 1	2
<s> You just cross the boulevar du Periferique and you are in zone 1 or	. </s>	public transportation	2
<s> It can be a nice	</s>	place	2
<s> Plus : really fresh	at breakfast ( squeezed on demand ) </s>	orange juice	2
<s> Plus : really fresh	at breakfast ( squeezed on demand ) </s>	orange juice	3
<s> It is a small	which one can easily oversee with all the shops around . </s>	hotel	2
<s> It is a small	which one can easily oversee with all the shops around . </s>	hotel	2
<s> However , the windows held almost	away which made it easy to sleep in the hotel . </s>	all noise	2
<s> However , the windows held almost	away which made it easy to sleep in the hotel . </s>	all noise	2
<s> In the morning the hotel provided a good	with fresh juices and typical croissants . </s>	breakfast	2
<s>	are fancy with darker walls . </s>	The halls	2
<s>	was very alive even in the evening hours . </s>	The street	2
<s>	was small but provided everything one needs but also nothing extra . </s>	The room	1
<s>	was small but provided everything one needs but also nothing extra . </s>	The room	2
<s>	was small but provided everything one needs but also nothing extra . </s>	The room	1
<s> For other destinations , I would think	was a little low . </s>	money for value	1
<s> Probably ,	is OK because it is Paris . </s>	price	2
<s> Typical French	· small , grubby but charming </s>	hotel	1
<s> Typical French	· small , grubby but charming </s>	hotel	1
<s> Typical French	· small , grubby but charming </s>	hotel	2
<s> In the morning the hotel provided a good breakfast with fresh	and typical croissants . </s>	juices	2
<s> In the morning the hotel provided a good breakfast with fresh juices and typical	. </s>	croissants	2
<s>	is perfectly located near Opera in Paris . </s>	Hotel Massena	3
<s>	was always hot too . </s>	Food	2
<s>	was good always a very good choice in each restaurant . </s>	Food	2
<s>	was always busy and had to get there early to get a sunbed . </s>	The beach	1
<s>	was always busy and had to get there early to get a sunbed . </s>	The beach	1
<s>	was always busy and had to get there early to get a sunbed . </s>	The beach	1
<s> There are	and they are all very good . </s>	5 restaurants	2
<s> There are 5 restaurants and	are all very good . </s>	they	3
<s>	were friendly and helpful . </s>	Staff	2
<s>	were friendly and helpful . </s>	Staff	2
<s> Food was good always a very good	in each restaurant . </s>	choice	3
<s>	was very clean as was the whole hotel . </s>	Our room	3
<s> Our room was very clean as was	. </s>	the whole hotel	3
<s> There is a	in the room and also a kettle with tea and coffee provided and replenished during service . </s>	washbasin	2
<s>	and toilets are down the ( very steep ) stairs and also clean . </s>	Shared shower	2
<s> Shared shower and	are down the ( very steep ) stairs and also clean . </s>	toilets	2
<s>	and toilets are down the ( very steep ) stairs and also clean . </s>	Shared shower	0
<s> Shared shower and	are down the ( very steep ) stairs and also clean . </s>	toilets	0
<s>	and toilets are down the ( very steep ) stairs and also clean . </s>	Shared shower	1
<s> Shared shower and	are down the ( very steep ) stairs and also clean . </s>	toilets	1
<s>	and toilets are down the ( very steep ) stairs and also clean . </s>	Shared shower	1
<s> Shared shower and	are down the ( very steep ) stairs and also clean . </s>	toilets	1
<s>	is served on Sundays , it was nothing extraordinary , but for the price alright . </s>	Full English breakfast	2
<s> On Mondays ,	is served in another hotel just across the street · very basic continental with cereals , bread , one type of ham and cheese , juices , hot drinks , etc. </s>	breakfast	1
<s> On Mondays ,	is served in another hotel just across the street · very basic continental with cereals , bread , one type of ham and cheese , juices , hot drinks , etc. </s>	breakfast	2
<s> Full English breakfast is served on Sundays ,	was nothing extraordinary , but for the price alright . </s>	it	1
<s> Full English breakfast is served on Sundays ,	was nothing extraordinary , but for the price alright . </s>	it	2
<s> Full English breakfast is served on Sundays ,	was nothing extraordinary , but for the price alright . </s>	it	2
<s> I stayed at	which is the cheapest available in Rangemoor Park Hotel . </s>	the attic room	2
<s> Overall ·	's absolutely alright for the price you pay and the breakfast · while nothing special · is a nice plus . </s>	it	3
<s> It is a very small	that is not very pretty , but the sheets were clean and the bed comfy . </s>	room	0
<s> It is a very small	that is not very pretty , but the sheets were clean and the bed comfy . </s>	room	1
<s> Overall · it 's absolutely alright for	· while nothing special · is a nice plus . </s>	the breakfast	2
<s> Overall · it 's absolutely alright for	· while nothing special · is a nice plus . </s>	the breakfast	1
<s> On Mondays , breakfast is served in another hotel just across the street · very basic	with cereals , bread , one type of ham and cheese , juices , hot drinks , etc. </s>	continental	1
<s> It is a very small room that is not very pretty , but	comfy . </s>	the bed	2
<s> There is a washbasin in the room and also a kettle with tea and	provided and replenished during service . </s>	coffee	2
<s> There is a washbasin in the room and also a kettle with	and coffee provided and replenished during service . </s>	tea	2
<s> There is	with tea and coffee provided and replenished during service . </s>	a kettle	2
<s> There is a washbasin in the room and also a kettle with tea and	provided and replenished during service . </s>	coffee	2
<s> There is a washbasin in the room and also a kettle with	and coffee provided and replenished during service . </s>	tea	2
<s> There is	with tea and coffee provided and replenished during service . </s>	a kettle	2
<s> It is a very small room that is not very pretty , but	were clean and the bed comfy . </s>	the sheets	2
<s> We are surely coming back to this very good	. </s>	hotel	2
<s> We are surely coming back to this very good	. </s>	hotel	3
<s> There was	at this hotel . </s>	nothing that we did not like	2
<s>	and drinks were great . </s>	Food	3
<s> Food and	were great . </s>	drinks	3
<s>	enough ! ! ! </s>	Swimmingpools	2
<s> Very good and nice	. </s>	hotel	2
<s> Very good and nice	. </s>	hotel	3
<s> Very friendly	. </s>	personal	3
<s>	was great . </s>	Everything	3
<s> Overall impression of the hotel is excellent , very nice suroundings , great distance to the sea , friendly	. </s>	staff	2
<s> Overall impression of the hotel is excellent , very nice suroundings , great	, friendly staff . </s>	distance to the sea	3
