aspect	2200	0	14	Kaffeemaschine	2200-aspect0	unknown	related
aspect	2200	50	64	Kaffeemaschine	2200-aspect1	unknown	related
aspect	2200	85	94	Bedienung	2200-aspect2	unknown	related
subjective	2200	104	106	ok	2200-subjective3	neutral	related
aspect	2200	111	120	Lieferung	2200-aspect4	unknown	related
subjective	2200	125	136	einwandfrei	2200-subjective5	positive	related
subjective	2200	137	145	Schnelle	2200-subjective6	positive	related
aspect	2200	146	155	Lieferung	2200-aspect7	unknown	related
aspect	2200	165	175	verpackung	2200-aspect8	unknown	related
subjective	2200	160	164	gute	2200-subjective9	positive	related
subjective	2201	0	13	Einfach super	2201-subjective0	positive	related
aspect	2201	18	32	Kaffeemaschine	2201-aspect1	unknown	related
subjective	2201	91	96	gutem	2201-subjective2	positive	related
aspect	2201	97	103	Kaffee	2201-aspect3	unknown	related
subjective	2201	150	171	hervoragend gebrühtem	2201-subjective4	positive	related
aspect	2201	172	178	Kaffee	2201-aspect5	unknown	related
aspect	2201	197	203	Kannen	2201-aspect6	unknown	related
aspect	2201	243	251	Leistung	2201-aspect7	unknown	related
subjective	2201	231	242	beachtliche	2201-subjective8	positive	related
subjective	2201	272	290	wichtigsten Punkte	2201-subjective9	positive	related
subjective	2201	290	296	Schöne	2201-subjective10	positive	related
aspect	2201	297	302	Optik	2201-aspect11	unknown	related
aspect	2201	306	311	Kanne	2201-aspect12	unknown	related
subjective	2201	312	324	Tropft nicht	2201-subjective13	positive	related
subjective	2201	324	327	Gut	2201-subjective14	positive	related
aspect	2201	331	339	Reinigen	2201-aspect15	unknown	related
aspect	2201	343	349	klappe	2201-aspect16	unknown	related
aspect	2201	354	369	Wassereinfüllen	2201-aspect17	unknown	related
subjective	2201	374	378	groß	2201-subjective18	positive	related
aspect	2201	382	393	Tassenskala	2201-aspect19	unknown	related
subjective	2201	398	410	gut ablesbar	2201-subjective20	positive	related
subjective	2201	410	423	Einfache gute	2201-subjective21	positive	related
aspect	2201	424	433	Bedienung	2201-aspect22	unknown	related
aspect	2201	433	447	Preis Leistung	2201-aspect23	unknown	related
subjective	2201	452	457	super	2201-subjective24	positive	related
subjective	2201	466	479	nur Empfehlen	2201-subjective25	positive	related
subjective	2202	0	9	Sehr gute	2202-subjective0	positive	related
aspect	2202	10	24	Kaffeemaschine	2202-aspect1	unknown	related
subjective	2202	25	45	Sehr empfehlenswerte	2202-subjective2	positive	related
aspect	2202	46	60	Kaffeemaschine	2202-aspect3	unknown	related
aspect	2202	75	92	Abschaltautomatik	2202-aspect4	unknown	related
subjective	2202	107	125	Menge Strom sparen	2202-subjective5	positive	related
aspect	2202	127	139	Thermoskanne	2202-aspect6	unknown	related
aspect	2202	140	152	funktioniert	2202-aspect7	unknown	related
subjective	2202	158	166	sehr gut	2202-subjective8	positive	related
subjective	2203	4	18	sehr zufrieden	2203-subjective0	positive	related
aspect	2203	27	41	Kaffeemaschine	2203-aspect1	unknown	related
aspect	2203	72	83	Rezensionen	2203-aspect2	unknown	related
aspect	2203	134	148	Kaffeemaschine	2203-aspect3	unknown	related
subjective	2203	178	190	nicht bereut	2203-subjective4	positive	related
aspect	2203	228	242	Kaffeemaschine	2203-aspect5	unknown	related
subjective	2203	243	261	leicht zu bedienen	2203-subjective6	positive	related
aspect	2203	271	276	Kanne	2203-aspect7	unknown	related
subjective	2203	277	289	nicht tropft	2203-subjective8	positive	related
aspect	2203	295	301	Kaffee	2203-aspect9	unknown	related
subjective	2203	312	316	heiß	2203-subjective10	positive	related
aspect	2203	355	363	Maschine	2203-aspect11	unknown	related
aspect	2203	373	379	Brühen	2203-aspect12	unknown	related
subjective	2203	380	404	selbstständig abschaltet	2203-subjective13	positive	related
aspect	2203	428	442	Kaffeemaschine	2203-aspect14	unknown	related
subjective	2203	452	543	kann ich auch die genannten Kritikpunkte, die einige Rezententen anführen, nicht bestätigen	2203-subjective15	positive	related
subjective	2203	552	566	sehr zufrieden	2203-subjective16	positive	related
aspect	2203	588	596	Maschine	2203-aspect17	unknown	related
subjective	2203	597	617	nur weiter empfehlen	2203-subjective18	positive	related
subjective	2203	623	631	5 Sterne	2203-subjective19	positive	related
aspect	2203	635	641	Amazon	2203-aspect20	unknown	related
aspect	2203	659	668	Zusendung	2203-aspect21	unknown	related
subjective	2203	650	658	schnelle	2203-subjective22	positive	related
subjective	2203	670	696	Kaufe hier immer sehr gern	2203-subjective23	positive	related
subjective	2204	309	330	bis zu 5 Stunden warm	2204-subjective0	positive	related
subjective	2204	0	11	Fantastisch	2204-subjective1	positive	related
aspect	2204	33	59	Phillips Gaia Kaffemachine	2204-aspect2	unknown	related
subjective	2204	60	69	sehr edel	2204-subjective3	positive	related
aspect	2204	23	28	sieht	2204-aspect4	unknown	related
aspect	2204	145	170	Bau- und Materialqualität	2204-aspect5	unknown	related
aspect	2204	184	190	Kaffee	2204-aspect6	unknown	related
subjective	2204	195	216	extrem schnell fertig	2204-subjective7	positive	related
aspect	2204	224	229	Kanne	2204-aspect8	unknown	related
aspect	2204	257	271	Voll-Edelstahl	2204-aspect9	unknown	related
aspect	2204	296	308	Thermoskanne	2204-aspect10	unknown	related
aspect	2204	345	351	Kaffee	2204-aspect11	unknown	related
aspect	2204	434	440	Kannne	2204-aspect12	unknown	related
subjective	2204	504	514	begeistert	2204-subjective13	positive	related
subjective	2204	519	537	mehr als zufrieden	2204-subjective14	positive	related
subjective	2204	570	591	mehr als angemessenen	2204-subjective15	positive	related
aspect	2204	592	597	Preis	2204-aspect16	unknown	related
aspect	2210	0	14	Thermofunktion	2210-aspect0	unknown	related
subjective	2210	19	27	gelungen	2210-subjective1	positive	related
subjective	2210	29	48	lange Zeit frischer	2210-subjective2	positive	related
subjective	2210	53	59	heißer	2210-subjective3	positive	related
aspect	2210	60	66	Kaffee	2210-aspect4	unknown	related
subjective	2210	67	77	Sehr gutes	2210-subjective5	positive	related
aspect	2210	78	84	Design	2210-aspect6	unknown	related
aspect	2210	86	118	automatische Aus (off-) Funktion	2210-aspect7	unknown	related
aspect	2210	124	130	Kaffee	2210-aspect8	unknown	related
subjective	2210	138	168	noch mehrere Stunden heiß/warm	2210-subjective9	positive	related
subjective	2210	172	177	Manko	2210-subjective10	negative	related
aspect	2210	189	220	Verfärbung der Kanneninnenwände	2210-aspect11	unknown	related
subjective	2210	235	255	nicht weiter schlimm	2210-subjective12	neutral	related
aspect	2210	266	282	Kaffeefarbstoffe	2210-aspect13	unknown	related
aspect	2210	406	419	Kaffemaschine	2210-aspect14	unknown	related
subjective	2210	424	438	nicht der Fall	2210-subjective15	positive	related
aspect	2210	351	358	Geruchs	2210-aspect16	unknown	related
aspect	2210	325	336	Bewertungen	2210-aspect17	unknown	related
aspect	2210	482	492	Hersteller	2210-aspect18	unknown	related
subjective	2210	497	519	rechtzeitig eingelenkt	2210-subjective19	positive	related
aspect	2210	528	540	Chemiegeruch	2210-aspect20	unknown	related
subjective	2210	541	550	beseitigt	2210-subjective21	positive	related
aspect	2210	556	563	Produkt	2210-aspect22	unknown	related
subjective	2210	573	597	wirklich weiterempfehlen	2210-subjective23	positive	related
subjective	2212	4	16	ästhetisches	2212-subjective0	positive	related
aspect	2212	17	23	modell	2212-aspect1	unknown	related
subjective	2212	39	60	noch nicht enttäuscht	2212-subjective2	positive	related
aspect	2212	78	93	philips produkt	2212-aspect3	unknown	foreign
aspect	2212	121	134	kaffeeautomat	2212-aspect4	unknown	related
aspect	2212	135	140	sieht	2212-aspect5	unknown	related
subjective	2212	141	152	sehr wertig	2212-subjective6	positive	related
aspect	2212	162	172	handhabung	2212-aspect7	unknown	related
subjective	2212	177	181	o.k.	2212-subjective8	neutral	related
aspect	2212	199	205	kaffee	2212-aspect9	unknown	related
subjective	2212	210	219	gewünscht	2212-subjective10	positive	related
aspect	2212	228	233	kanne	2212-aspect11	unknown	related
aspect	2212	245	251	kaffee	2212-aspect12	unknown	related
subjective	2212	252	265	lang gut heiß	2212-subjective13	positive	related
aspect	2212	271	276	preis	2212-aspect14	unknown	related
subjective	2212	281	300	zwar nicht so klein	2212-subjective15	negative	related
aspect	2212	333	341	material	2212-aspect16	unknown	related
subjective	2212	342	350	sehr gut	2212-subjective17	positive	related
subjective	2212	356	390	hoffe, ich habe lange freude daran	2212-subjective18	positive	related
subjective	2213	0	7	Stylish	2213-subjective0	positive	related
subjective	2213	8	19	funktionell	2213-subjective1	positive	related
subjective	2213	20	30	sehr guter	2213-subjective2	positive	related
aspect	2213	31	37	Kaffee	2213-aspect3	unknown	related
aspect	2213	51	55	heiß	2213-aspect4	unknown	related
subjective	2213	42	50	laaaange	2213-subjective5	positive	related
aspect	2213	66	70	Teil	2213-aspect6	unknown	related
subjective	2213	82	95	nur empfehlen	2213-subjective7	positive	related
aspect	2213	120	132	alten KRUPPS	2213-aspect8	unknown	foreign
aspect	2213	217	228	Thermokanne	2213-aspect9	unknown	related
aspect	2213	283	287	Teil	2213-aspect10	unknown	related
subjective	2213	133	167	verbrauchen wir ca.20 .v.H weniger	2213-subjective11	positive	related
aspect	2213	167	179	Kaffeepulver	2213-aspect12	unknown	related
subjective	2213	184	191	beserem	2213-subjective13	positive	related
aspect	2213	193	198	Aroma	2213-aspect14	unknown	related
aspect	2213	203	212	Geschmack	2213-aspect15	unknown	related
subjective	2213	237	242	Beste	2213-subjective16	positive	related
subjective	2213	269	301	würden dieses Teil wieder kaufen	2213-subjective17	positive	related
aspect	2214	635	640	Kanne	2214-aspect0	unknown	related
subjective	2214	0	4	Gute	2214-subjective1	positive	related
aspect	2214	5	13	Maschine	2214-aspect2	unknown	related
subjective	2214	18	23	gutes	2214-subjective3	positive	related
aspect	2214	24	28	Geld	2214-aspect4	unknown	related
aspect	2214	45	59	Kaffeemaschine	2214-aspect5	unknown	related
aspect	2214	117	123	Kaffee	2214-aspect6	unknown	related
subjective	2214	124	136	schmeckt gut	2214-subjective7	positive	related
subjective	2214	154	174	keine Beanstandungen	2214-subjective8	positive	related
aspect	2214	189	197	Maschine	2214-aspect9	unknown	related
aspect	2214	205	210	sieht	2214-aspect10	unknown	related
subjective	2214	211	219	sehr gut	2214-subjective11	positive	related
subjective	2214	228	246	paßt in jede Küche	2214-subjective12	positive	related
subjective	2214	256	271	nicht übermäßig	2214-subjective13	positive	related
aspect	2214	272	276	groß	2214-aspect14	unknown	related
aspect	2214	282	293	Thermokanne	2214-aspect15	unknown	related
aspect	2214	303	309	Kaffee	2214-aspect16	unknown	related
subjective	2214	294	320	hält den Kaffee lange heiß	2214-subjective17	positive	related
aspect	2214	367	380	heißem Wasser	2214-aspect18	unknown	related
aspect	2214	458	464	Innere	2214-aspect19	unknown	related
aspect	2214	469	474	Kanne	2214-aspect20	unknown	related
aspect	2214	681	693	Filterhalter	2214-aspect21	unknown	related
aspect	2214	712	721	Reinigung	2214-aspect22	unknown	related
aspect	2214	749	762	Kaffeefilters	2214-aspect23	unknown	related
aspect	2214	799	808	Maschinen	2214-aspect24	unknown	foreign
subjective	2214	777	823	kenne ich von anderen Maschinen etwas bequemer	2214-subjective25	negative	related
aspect	2214	851	858	Einsatz	2214-aspect26	unknown	related
subjective	2214	899	913	sehr zufrieden	2214-subjective27	positive	related
aspect	2214	930	944	Kaffeemaschine	2214-aspect28	unknown	related
subjective	2214	945	958	nur empfehlen	2214-subjective29	positive	related
aspect	2214	494	505	Durchläufen	2214-aspect30	unknown	related
aspect	2216	0	7	Optisch	2216-aspect0	unknown	related
subjective	2216	8	11	Top	2216-subjective1	positive	related
subjective	2216	26	34	sehr gut	2216-subjective2	positive	related
aspect	2216	13	25	funktioniert	2216-aspect3	unknown	related
aspect	2216	39	53	Kaffeemaschine	2216-aspect4	unknown	related
aspect	2216	54	59	sieht	2216-aspect5	unknown	related
subjective	2216	60	69	sehr edel	2216-subjective6	positive	related
aspect	2216	79	91	funktioniert	2216-aspect7	unknown	related
subjective	2216	119	132	ohne Probleme	2216-subjective8	positive	related
subjective	2216	133	141	Einfache	2216-subjective9	positive	related
aspect	2216	142	151	Reinigung	2216-aspect10	unknown	related
aspect	2216	153	165	Thermoskanne	2216-aspect11	unknown	related
subjective	2216	166	184	hält sehr gut warm	2216-subjective12	positive	related
subjective	2221	0	5	Super	2221-subjective0	positive	related
aspect	2221	20	34	Kaffeemaschine	2221-aspect1	unknown	related
subjective	2221	39	47	Sehr gut	2221-subjective2	positive	related
subjective	2221	49	83	Keinerlei Mängel oder ungeschickte	2221-subjective3	positive	related
aspect	2221	84	93	Bedienung	2221-aspect4	unknown	related
aspect	2221	107	112	Läuft	2221-aspect5	unknown	related
subjective	2221	113	118	super	2221-subjective6	positive	related
subjective	2221	123	130	schnell	2221-subjective7	positive	related
subjective	2221	132	144	tropft nicht	2221-subjective8	positive	related
aspect	2221	150	161	Einschenken	2221-aspect9	unknown	related
aspect	2221	163	177	Wasserbehälter	2221-aspect10	unknown	related
aspect	2221	182	188	Filter	2221-aspect11	unknown	related
subjective	2221	189	206	gut zu errreichen	2221-subjective12	positive	related
subjective	2223	0	15	Schöne gefällig	2223-subjective0	positive	related
aspect	2223	16	30	Kaffeemaschine	2223-aspect1	unknown	related
aspect	2223	31	36	Sieht	2223-aspect2	unknown	related
subjective	2223	37	40	gut	2223-subjective3	positive	related
aspect	2223	46	52	Kaffee	2223-aspect4	unknown	related
aspect	2223	73	79	60 EUR	2223-aspect5	unknown	related
subjective	2223	90	100	angemessen	2223-subjective6	neutral	related
aspect	2223	127	133	Geräte	2223-aspect7	unknown	related
aspect	2223	262	292	vielzahl der guten Bewertungen	2223-aspect8	unknown	related
subjective	2223	293	306	täuscht nicht	2223-subjective9	positive	related
subjective	2224	0	6	Klasse	2224-subjective0	positive	related
aspect	2224	7	15	Maschine	2224-aspect1	unknown	related
aspect	2224	25	39	Kaffeemaschine	2224-aspect2	unknown	related
aspect	2224	40	45	sieht	2224-aspect3	unknown	related
subjective	2224	56	59	gut	2224-subjective4	positive	related
aspect	2224	69	81	funktioniert	2224-aspect5	unknown	related
subjective	2224	87	95	tadellos	2224-subjective6	positive	related
aspect	2224	151	159	Maschine	2224-aspect7	unknown	related
subjective	2224	166	177	mini-Defekt	2224-subjective8	negative	related
aspect	2224	188	199	Power-Knopf	2224-aspect9	unknown	related
subjective	2224	200	216	nicht geleuchtet	2224-subjective10	negative	related
aspect	2224	227	234	Philips	2224-aspect11	unknown	related
subjective	2224	239	251	ohne meckern	2224-subjective12	positive	related
subjective	2224	269	282	super schnell	2224-subjective13	positive	related
aspect	2224	287	311	integrierte Thermoskasse	2224-aspect14	unknown	related
subjective	2224	325	338	Sahnehäubchen	2224-subjective15	positive	related
aspect	2224	340	346	Kaffee	2224-aspect16	unknown	related
subjective	2224	353	365	sehr schnell	2224-subjective17	positive	related
aspect	2224	388	393	Kanne	2224-aspect18	unknown	related
subjective	2224	399	414	schön lang warm	2224-subjective19	positive	related
subjective	2224	431	434	Top	2224-subjective20	positive	related
aspect	2224	435	442	Produkt	2224-aspect21	unknown	related
subjective	2225	0	13	Einwandfreies	2225-subjective0	positive	related
aspect	2225	14	21	Produkt	2225-aspect1	unknown	related
subjective	2225	35	48	einwandfreies	2225-subjective2	positive	related
aspect	2225	49	56	Produkt	2225-aspect3	unknown	related
subjective	2225	61	70	günstigen	2225-subjective4	positive	related
aspect	2225	71	76	Preis	2225-aspect5	unknown	related
subjective	2225	81	88	zügiger	2225-subjective6	positive	related
aspect	2225	89	98	Lieferung	2225-aspect7	unknown	related
subjective	2225	108	149	So muß Einkauf per Internet funktionieren	2225-subjective8	positive	related
subjective	2228	0	12	Sehr schnell	2228-subjective0	positive	related
aspect	2228	13	27	Kaffeemaschine	2228-aspect1	unknown	related
subjective	2228	32	35	gut	2228-subjective2	positive	related
aspect	2228	41	46	läuft	2228-aspect3	unknown	related
subjective	2228	47	59	sehr schnell	2228-subjective4	positive	related
aspect	2228	106	124	öffnen des Deckels	2228-aspect5	unknown	related
subjective	2230	0	6	Tolles	2230-subjective0	positive	related
aspect	2230	7	14	Produkt	2230-aspect1	unknown	related
aspect	2230	16	22	Kaffee	2230-aspect2	unknown	related
subjective	2230	23	45	bleibt ca. 4 Std. warm	2230-subjective3	positive	related
aspect	2230	50	57	Produkt	2230-aspect4	unknown	related
subjective	2230	62	70	sehr gut	2230-subjective5	positive	related
aspect	2230	76	82	Kaffee	2230-aspect6	unknown	related
subjective	2230	83	105	bleibt ca. 4 Std. warm	2230-subjective7	positive	related
aspect	2230	111	125	Edelstahlkanne	2230-aspect8	unknown	related
subjective	2230	126	145	erfüllt ihren Zweck	2230-subjective9	neutral	related
subjective	2230	150	164	bietet einiges	2230-subjective10	positive	related
aspect	2230	173	178	Optik	2230-aspect11	unknown	related
aspect	2230	184	193	Lieferung	2230-aspect12	unknown	related
subjective	2230	198	210	mega schnell	2230-subjective13	positive	related
subjective	2230	212	230	immer wieder gerne	2230-subjective14	positive	related
subjective	2232	0	14	sehr zufrieden	2232-subjective0	positive	related
aspect	2232	26	34	maschine	2232-aspect1	unknown	related
subjective	2232	43	66	ausgesprochen zufrieden	2232-subjective2	positive	related
aspect	2232	87	103	Fassungsvermögen	2232-aspect3	unknown	related
subjective	2232	80	86	großes	2232-subjective4	positive	related
subjective	2232	117	124	schnell	2232-subjective5	positive	related
aspect	2232	108	116	arbeitet	2232-aspect6	unknown	related
subjective	2232	133	154	nicht unbedingt leise	2232-subjective7	negative	related
aspect	2232	165	170	sieht	2232-aspect8	unknown	related
subjective	2232	175	178	gut	2232-subjective9	positive	related
subjective	2233	0	16	Bestens geeignet	2233-subjective0	positive	related
aspect	2233	25	47	täglichen Kaffee Genuß	2233-aspect1	unknown	related
aspect	2233	52	67	Kaffee Maschine	2233-aspect2	unknown	related
aspect	2233	105	117	Kaffee Aroma	2233-aspect3	unknown	related
subjective	2233	123	138	bestens erzeugt	2233-subjective4	positive	related
aspect	2233	144	149	Wärme	2233-aspect5	unknown	related
subjective	2233	155	167	gut gehalten	2233-subjective6	positive	related
subjective	2233	169	196	So macht Keffeetrinken Spaß	2233-subjective7	positive	related
aspect	2233	178	191	Keffeetrinken	2233-aspect8	unknown	related
subjective	2235	0	5	guter	2235-subjective0	positive	related
aspect	2235	6	10	Kauf	2235-aspect1	unknown	related
aspect	2235	19	23	Kauf	2235-aspect2	unknown	related
subjective	2235	24	40	hat sich gelohnt	2235-subjective3	positive	related
aspect	2235	46	54	Maschine	2235-aspect4	unknown	related
aspect	2235	55	60	sieht	2235-aspect5	unknown	related
subjective	2235	61	64	gut	2235-subjective6	positive	related
aspect	2235	74	80	Kaffee	2235-aspect7	unknown	related
subjective	2235	81	93	schmeckt gut	2235-subjective8	positive	related
subjective	2235	102	111	sehr heiß	2235-subjective9	positive	related
subjective	2235	147	152	guten	2235-subjective10	positive	related
aspect	2235	153	165	Thermoskanne	2235-aspect11	unknown	related
aspect	2235	170	189	Verschluß der Kanne	2235-aspect12	unknown	related
aspect	2235	270	278	Maschine	2235-aspect13	unknown	related
aspect	2235	279	284	brüht	2235-aspect14	unknown	related
subjective	2235	285	297	sehr schnell	2235-subjective15	positive	related
aspect	2235	340	346	Kaffee	2235-aspect16	unknown	related
subjective	2235	347	380	läßt sich kleckerfrei einschenken	2235-subjective17	positive	related
subjective	2235	382	409	Genau was ich gesucht hatte	2235-subjective18	positive	related
aspect	2236	0	14	Preis Leistung	2236-aspect0	unknown	related
subjective	2236	15	25	Weltklasse	2236-subjective1	positive	related
aspect	2236	30	44	Kaffeemaschine	2236-aspect2	unknown	related
aspect	2236	104	109	gerät	2236-aspect3	unknown	related
subjective	2236	175	197	keine Mängel erkennbar	2236-subjective4	positive	related
aspect	2236	212	231	AMAZON beschreibung	2236-aspect5	unknown	related
aspect	2236	251	259	Maschine	2236-aspect6	unknown	related
subjective	2236	284	293	Highlight	2236-subjective7	positive	related
aspect	2236	311	316	Kanne	2236-aspect8	unknown	related
subjective	2236	334	346	Unzerkuttbar	2236-subjective9	positive	related
subjective	2236	348	351	:-)	2236-subjective10	positive	related
subjective	2236	353	359	toller	2236-subjective11	positive	related
aspect	2236	360	370	Verschluss	2236-aspect12	unknown	related
aspect	2236	376	384	Maschine	2236-aspect13	unknown	related
subjective	2236	394	399	tolle	2236-subjective14	positive	related
aspect	2236	400	405	Optik	2236-aspect15	unknown	related
aspect	2236	406	411	Kanne	2236-aspect16	unknown	related
aspect	2236	478	484	Kaffee	2236-aspect17	unknown	related
aspect	2236	500	509	Kanne aus	2236-aspect18	unknown	related
aspect	2236	514	522	Maschine	2236-aspect19	unknown	related
subjective	2236	536	570	hebt die 5 negativ Bewertungen auf	2236-subjective20	positive	related
aspect	2236	545	566	5 negativ Bewertungen	2236-aspect21	unknown	related
aspect	2236	598	604	Kaffee	2236-aspect22	unknown	related
aspect	2236	632	643	Brühvorgang	2236-aspect23	unknown	related
aspect	2236	653	663	Verschluss	2236-aspect24	unknown	related
aspect	2236	736	741	Kanne	2236-aspect25	unknown	related
subjective	2237	0	5	Tolle	2237-subjective0	positive	related
aspect	2237	6	14	Maschine	2237-aspect1	unknown	related
aspect	2237	19	33	Kaffeemaschine	2237-aspect2	unknown	related
subjective	2237	38	44	robust	2237-subjective3	positive	related
aspect	2237	53	65	Thermoskanne	2237-aspect4	unknown	related
aspect	2237	75	81	Kaffee	2237-aspect5	unknown	related
subjective	2237	66	114	hält den Kaffee dann auch über längere Zeit warm	2237-subjective6	positive	related
subjective	2237	116	148	Würde die Maschine wieder kaufen	2237-subjective7	positive	related
aspect	2237	126	134	Maschine	2237-aspect8	unknown	related
subjective	2238	0	14	Sehr zufrieden	2238-subjective0	positive	related
aspect	2238	21	35	Kaffeemaschine	2238-aspect1	unknown	related
subjective	2238	45	58	nur empfehlen	2238-subjective2	positive	related
aspect	2238	63	68	sieht	2238-aspect3	unknown	related
subjective	2238	69	73	chic	2238-subjective4	positive	related
aspect	2238	118	124	Deckel	2238-aspect5	unknown	related
aspect	2238	129	134	Kanne	2238-aspect6	unknown	related
aspect	2238	160	174	Wasserbehälter	2238-aspect7	unknown	related
subjective	2238	179	190	schön breit	2238-subjective8	positive	related
aspect	2238	215	221	Wasser	2238-aspect9	unknown	related
subjective	2238	222	244	kinderleicht einfüllen	2238-subjective10	positive	related
aspect	2238	250	256	Kaffee	2238-aspect11	unknown	related
aspect	2238	302	307	Kanne	2238-aspect12	unknown	related
subjective	2238	335	360	über mehrere Stunden heiß	2238-subjective13	positive	related
subjective	2238	365	374	genießbar	2238-subjective14	positive	related
subjective	2238	376	385	Praktisch	2238-subjective15	positive	related
aspect	2238	400	417	Abschaltautomatik	2238-aspect16	unknown	related
subjective	2238	424	429	spart	2238-subjective17	positive	related
aspect	2238	430	435	Strom	2238-aspect18	unknown	related
subjective	2238	437	474	Würde sie mir jederzeit wieder kaufen	2238-subjective19	positive	related
subjective	2238	92	105	sehr handlich	2238-subjective20	positive	related
aspect	2239	4	12	Maschine	2239-aspect0	unknown	related
subjective	2239	14	27	die alles hat	2239-subjective1	positive	related
aspect	2239	32	40	Maschine	2239-aspect2	unknown	related
subjective	2239	95	120	uneingeschränkt zufrieden	2239-subjective3	positive	related
aspect	2239	126	136	Handhabung	2239-aspect4	unknown	related
aspect	2239	148	162	Filterwechsels	2239-aspect5	unknown	related
aspect	2239	172	193	Filterhalterreinigung	2239-aspect6	unknown	related
subjective	2239	200	207	einfach	2239-subjective7	positive	related
subjective	2239	212	222	zweckmäßig	2239-subjective8	positive	related
subjective	2239	224	254	Keine Spur von Schwierigkeiten	2239-subjective9	positive	related
aspect	2239	277	286	Rezension	2239-aspect10	unknown	related
aspect	2239	308	319	Wassermenge	2239-aspect11	unknown	related
aspect	2239	376	390	Tassenanzeigen	2239-aspect12	unknown	related
aspect	2239	423	434	Tassengröße	2239-aspect13	unknown	related
aspect	2239	449	454	Kanne	2239-aspect14	unknown	related
subjective	2239	455	469	hält ewig warm	2239-subjective15	positive	related
aspect	2239	525	534	Außenhaut	2239-aspect16	unknown	related
subjective	2239	558	571	wirklich gute	2239-subjective17	positive	related
aspect	2239	572	581	Isolation	2239-aspect18	unknown	related
aspect	2242	6	19	kaffemaschine	2242-aspect0	unknown	related
aspect	2242	26	66	phillips Hd 7546/20 Thermo Kaffemaschine	2242-aspect1	unknown	related
subjective	2242	66	84	leicht zu bedienen	2242-subjective2	positive	related
subjective	2242	86	97	sehr Heiser	2242-subjective3	positive	related
aspect	2242	97	102	kaffe	2242-aspect4	unknown	related
aspect	2242	106	118	Thermo Kanne	2242-aspect5	unknown	related
subjective	2242	119	150	hält den Kaffee sehr lange heis	2242-subjective6	positive	related
aspect	2242	128	134	Kaffee	2242-aspect7	unknown	related
subjective	2243	0	16	Kaffeegenuss pur	2243-subjective0	positive	related
subjective	2243	26	34	Reinfall	2243-subjective1	positive	related
aspect	2243	45	61	anderen Fabrikat	2243-aspect2	unknown	foreign
subjective	2243	63	86	war ich etwas skeptisch	2243-subjective3	positive	related
subjective	2243	109	119	begeistert	2243-subjective4	positive	related
aspect	2243	124	130	Kaffee	2243-aspect5	unknown	related
subjective	2243	135	139	heiß	2243-subjective6	positive	related
subjective	2243	147	165	schmeckt auch noch	2243-subjective7	positive	related
aspect	2243	171	180	Bedienung	2243-aspect8	unknown	related
subjective	2243	185	205	einfach zu handhaben	2243-subjective9	positive	related
subjective	2243	214	234	vollkommen zufrieden	2243-subjective10	positive	related
aspect	2243	240	250	Abwicklung	2243-aspect11	unknown	related
subjective	2243	255	265	in Ordnung	2243-subjective12	neutral	related
subjective	2243	280	312	schnell und reibungslos geklappt	2243-subjective13	positive	related
subjective	2244	0	3	TOP	2244-subjective0	positive	related
aspect	2244	50	64	kaffemaschinen	2244-aspect1	unknown	related
aspect	2244	105	123	gebrauchsanleitung	2244-aspect2	unknown	related
subjective	2244	128	144	einfach zu lesen	2244-subjective3	positive	related
aspect	2244	150	159	maschinen	2244-aspect4	unknown	related
aspect	2244	219	227	maschine	2244-aspect5	unknown	related
subjective	2244	232	244	sehr schnell	2244-subjective6	positive	related
