subjective	2100	0	15	Falschlieferung	2100-subjective0	negative	related
aspect	2100	20	32	Führungsring	2100-aspect1	unknown	related
aspect	2100	43	53	Glasteller	2100-aspect2	unknown	related
aspect	2100	68	78	Mikrowelle	2100-aspect3	unknown	related
aspect	2100	95	106	Rezessionen	2100-aspect4	unknown	related
aspect	2100	137	147	Glasteller	2100-aspect5	unknown	related
aspect	2100	156	164	Drehring	2100-aspect6	unknown	related
subjective	2100	169	191	zu klein dimensioniert	2100-subjective7	negative	related
aspect	2100	202	222	Rollen des Drehrings	2100-aspect8	unknown	related
subjective	2100	231	243	5mm zu klein	2100-subjective9	negative	related
aspect	2100	244	255	Ersatzgerät	2100-aspect10	unknown	related
subjective	2100	286	312	leider wieder mit falschem	2100-subjective11	negative	related
aspect	2100	313	321	Drehring	2100-aspect12	unknown	related
subjective	2100	117	132	Leider wackelte	2100-subjective13	negative	related
aspect	2100	323	338	Samsung Hotline	2100-aspect14	unknown	related
subjective	2100	339	363	läßt einen auch im Stich	2100-subjective15	negative	related
aspect	2100	386	391	Gerät	2100-aspect16	unknown	related
aspect	2100	402	409	Händler	2100-aspect17	unknown	related
aspect	2100	468	478	Mikrowelle	2100-aspect18	unknown	related
aspect	2100	514	522	Drehring	2100-aspect19	unknown	related
subjective	2100	524	548	Spricht für die Qualität	2100-subjective20	negative	related
aspect	2100	555	562	Hotline	2100-aspect21	unknown	related
aspect	2100	568	578	Mediamarkt	2100-aspect22	unknown	foreign
aspect	2100	596	601	Gerät	2100-aspect23	unknown	related
aspect	2100	658	662	Bild	2100-aspect24	unknown	related
aspect	2100	689	700	Amazonpreis	2100-aspect25	unknown	related
aspect	2100	750	760	Mikrowelle	2100-aspect26	unknown	related
aspect	2100	797	805	Drehring	2100-aspect27	unknown	related
aspect	2100	817	827	Glasteller	2100-aspect28	unknown	related
subjective	2100	854	865	Rücksendung	2100-subjective29	negative	related
subjective	2101	0	25	Nicht weiter zu empfehlen	2101-subjective0	negative	related
aspect	2101	30	35	Licht	2101-aspect1	unknown	related
subjective	2101	40	42	zu	2101-subjective2	negative	related
aspect	2101	43	49	dunkel	2101-aspect3	unknown	related
aspect	2101	54	61	schwach	2101-aspect4	unknown	related
subjective	2101	69	96	alles andere als sie leicht	2101-subjective5	negative	related
aspect	2101	100	108	bedienen	2101-aspect6	unknown	related
subjective	2101	115	123	fehlende	2101-subjective7	negative	related
aspect	2101	124	136	Beschriftung	2101-aspect8	unknown	related
subjective	2101	192	207	nicht standfest	2101-subjective9	negative	related
aspect	2101	198	207	standfest	2101-aspect10	unknown	related
aspect	2101	208	250	Sharp Electronics R242INW Mikrowellengerät	2101-aspect11	unknown	related
aspect	2101	175	183	bedienen	2101-aspect12	unknown	related
subjective	2102	0	9	Soweit ok	2102-subjective0	neutral	related
aspect	2102	23	31	Designer	2102-aspect1	unknown	related
aspect	2102	111	130	Schwarzer Innenraum	2102-aspect2	unknown	related
aspect	2102	138	155	schwarzer Scheibe	2102-aspect3	unknown	related
subjective	2102	165	182	kaum was zu sehen	2102-subjective4	negative	related
aspect	2102	190	201	Beleuchtung	2102-aspect5	unknown	related
aspect	2102	203	209	Design	2102-aspect6	unknown	related
aspect	2102	214	228	Funktionalität	2102-aspect7	unknown	related
aspect	2102	229	245	Weißer Drehknopf	2102-aspect8	unknown	related
aspect	2102	250	267	weißer Markierung	2102-aspect9	unknown	related
subjective	2102	270	305	auch dazu fällt mir nichts mehr ein	2102-subjective10	negative	related
subjective	2102	318	341	erfüllt sie ihren Zweck	2102-subjective11	neutral	related
subjective	2103	0	15	Nein Nie wieder	2103-subjective0	negative	related
subjective	2103	20	30	Nie wieder	2103-subjective1	negative	related
subjective	2103	35	49	Sehr schlechte	2103-subjective2	negative	related
aspect	2103	50	58	Qualität	2103-aspect3	unknown	related
subjective	2103	71	80	sehr groß	2103-subjective4	negative	related
subjective	2103	85	91	schwer	2103-subjective5	negative	related
aspect	2103	124	140	neuen Mikrowelle	2103-aspect6	unknown	related
subjective	2103	109	116	Kratzer	2103-subjective7	negative	related
subjective	2103	147	172	Finger weg!!!!!!!!!!!!!!!	2103-subjective8	negative	related
subjective	2104	456	462	Witzig	2104-subjective0	positive	related
subjective	2104	0	5	Super	2104-subjective1	positive	related
aspect	2104	6	11	Gerät	2104-aspect2	unknown	related
subjective	2104	12	22	Sehr schön	2104-subjective3	positive	related
aspect	2104	27	39	funktioniert	2104-aspect4	unknown	related
subjective	2104	40	51	einwandfrei	2104-subjective5	positive	related
aspect	2104	56	65	Lieferung	2104-aspect6	unknown	related
subjective	2104	108	123	sehr ordentlich	2104-subjective7	positive	related
subjective	2104	128	134	sicher	2104-subjective8	positive	related
aspect	2104	135	143	verpackt	2104-aspect9	unknown	related
aspect	2104	149	158	Auspacken	2104-aspect10	unknown	related
subjective	2104	159	185	dauerte nur wenige Minuten	2104-subjective11	positive	related
aspect	2104	204	211	Uhrzeit	2104-aspect12	unknown	related
aspect	2104	239	249	Handhabung	2104-aspect13	unknown	related
subjective	2104	254	266	sehr einfach	2104-subjective14	positive	related
aspect	2104	283	301	Gebrauchsanweisung	2104-aspect15	unknown	related
subjective	2104	302	323	eindeutig beschrieben	2104-subjective16	positive	related
aspect	2104	345	350	Gerät	2104-aspect17	unknown	related
subjective	2104	351	365	sehr zufrieden	2104-subjective18	positive	related
aspect	2104	366	380	Preis Leistung	2104-aspect19	unknown	related
subjective	2104	381	384	top	2104-subjective20	positive	related
aspect	2104	389	392	Tür	2104-aspect21	unknown	related
subjective	2104	410	414	toll	2104-subjective22	positive	related
aspect	2104	430	434	Bild	2104-aspect23	unknown	related
aspect	2104	478	482	Rost	2104-aspect24	unknown	related
