1150	B00541OAZG	R38EVFH8OF84U1	Nostalgia Electrics RMO-400RED Retro Series .9 CF Microwave Oven, Red	Super!	The controls are great, it's really good looking, and it works fine. What more could you want?  This is not a big microwave, but it does everything I want.  Even the popcorn setting is perfect.
1151	B0009KMYDM	RE3EY7KTI2BMN	Panasonic NN-H965WF Genius 2.2 cuft 1250-Watt Sensor Microwave with Inverter Technology, White	Nice oven with a few drawbacks	Our twelve-year-old Kenmore finally died.  After a lot of research, we finally decided on this brand and model.Pros:This is a large oven.  Anything that doesn't fit probably should not be cooked in a microwave anyway.  It is a powerful oven.  Things that took 90 seconds in our old oven only take 60 seconds in this one.  Function programming allows you to turn the clock on/off and the beeper on/off (see Cons).  Operating noise is very low.  Full-power cooking requires only setting cook time and pressing start.  The "Sensor Reheat" function works well as long as your food is not covered (and anything with tomato products or beans probably should be covered).Cons:Our biggest complaint is the noise it creates when closing the door.  This produces a very loud, tinny clang that can be heard all through the house.Although it is a large oven, it is lightweight and quite often pushing the door release will slide the entire oven backwards.Changing the power level requires pressing the power level button multiple times - e.g., defrosting at 30% level requires pushing the power level eight times.  Our old oven required only two - power level and 3 on the keypad.Likewise, setting nine minutes on the "Quick Min" function requires pushing the "Quick Min" button nine times and then pressing start.  Our old oven required only pushing "Quick Cook" and 9 on the keypad (without having to press start).The keypad had no tactile feel.  If you turn off the beep function, you need to pay close attention to the display to make sure the key you pressed actually activated.  Turning off the beep function also turns off the end-of-cycle beep.  Since the end-of-cycle beep is not nearly as loud and irritating as our old oven, we chose to leave this function "on."Conclusion:Although not perfect, we are satisfied overall after using this unit for two months.  Based on a number of other reviews, we did purchase the extended warranty.
1152	B00785MVRA	R2AS3AW0G1ONQN	Panasonic NN-SD372S 0.8 cuft 950-Watt Microwave with Inverter Technology, Stainless Steel	Good, Versatile Microwave	This microwave lives up to the claims made in its description.  The defrost mode works quite well, without starting to cook the food.  There are many useful modes, for reheating, cooking from frozen, and keeping foods warm.  The sleek stainless steel design is also nice.The only drawbacks are a lack of a number pad, which makes entering time a little bit more of a hassle, and that the reheat mode seems to heat things too much.
1153	B005BFZ5TU	R3CXAY0J7LYM61	Panasonic NN-SN651B Genius 1.2 cuft 1200-Watt Sensor Microwave with Inverter Technology, Black	Panasonic NN-Sn651B Genius 1.2 cuft-Watt Sensor Microwace	Great for the small area I needed for.  Good for cooking and warming.  Black with white lettering is very attractive.  Great buy.
1154	B0009KMYDW	R16P45YAHKOKB6	Panasonic NN-H965BF Genius 2.2 cuft 1250-Watt Sensor Microwave with Inverter Technology, Black	Needed Repair Before 30 Days Old	I've been a Panasonic fan for years until I purchased this microwave.  I searched every local dealer for a full-sizedblack Panasonic microwave. Local dealers only had smaller, stainless models in stock.  So, I did what I said I'd never do and buy an appliance online.  Never again.The microwave arrived on December 9, 2009 and today, January 3, 2010, is displaying Error H98: "Problem with microwave generation system. Contact authorized dealer."  The nearest authorized dealer is a 60 mile round trip--120 miles total for dropping off and then picking up--a lot of effort for a $150 purchase but too much money just totoss out and say lesson learned.There is no quality in any manufacturer anymore.  I'll never base a purchasing decision on brand name again.
1155	B004WOBWF2	R3RI98CLIHU754	Kenmore 79159 Elite Black 1.5 cu. ft. Countertop Microwave w/ TrueCookPlus Technology	Kenmore elite black 1.5 cu.ft. countertop Microwave w/ TruecookPlus	This microwave is 1) the perfect size, 2)comes with excellent directions for using the technology, and 3)cooks beautifully!  It's just large enough without looking huge on the counter. The "add one minute" feature is wonderful for making gravy, or for adding just enough heat when you need it.  Highly recommend!
1156	B005BFZ66C	R329LXFK7N347O	Panasonic NN-SN661S Genius 1.2 cuft 1200-Watt Sensor Microwave with Inverter Technology, Stainless Steel	Powerful and elegant!	Sure beats the heck out of our old white Wal-Mart microwave.  Before when a meal said 3 minutes, we would cook for 4 minutes and still have cold food.  Now we have quicker meal prep and, to top it all off, it looks great!  Very happy with this purchase!
1157	B005BFZ5ZY	R62D3M3L8ASQD	Panasonic NN-SN651W Genius 1.2 cuft 1200-Watt Sensor Microwave with Inverter Technology, White	Great and powerful microwave	I have a similar model at home, but I bought this for the office. It's got lots of power, and has a versatile keypad, which means you are not limited to 5 second increments as you are with some microwaves. We mainly use it for heating food and it has worked perfectly fine for that. I would buy another one. And the Panasonic microwave I have at home is 12 years old, and works like new.
1158	B005BFZ66C	R3KMX9VI6CF89C	Panasonic NN-SN661S Genius 1.2 cuft 1200-Watt Sensor Microwave with Inverter Technology, Stainless Steel	Great product	Great microwave, very powerful, with easy to use features. The turbo defrost feature really comes in handy too. Highly recommend!
1159	B005BFZ5TU	R2UIWPWDIGH1EQ	Panasonic NN-SN651B Genius 1.2 cuft 1200-Watt Sensor Microwave with Inverter Technology, Black	Perfect for my needs	Works great, does excellent job with frozen dinners. Fan is a bit noisy when unit is in use but I've gotten used to it and hardly notice any more.
1160	B00180LXWA	R26BCDWKG989QZ	Haier MWM0701TB Compact 2/3-Cubic-Foot 700-Watt Microwave Oven, Black	Good microwave for the price	This is a good microwave and very reasonably priced. The dimensions on it however are incorrect. It's small but the measurements listed it as being 11.5 x 19.5 x 14 1/5 and the measurements are actually 11.5 x 17 x 10. The inside of it measures 10 3/4 wide and 11.5 deep. This is ok if the largest thing you're heating up is a dinner plate. I used one of those plates for microwaving bacon and it just barely fit. I had to cut the paper towel I usually place on top of the bacon to reduce splatters the exact shape of the plate because it kept catching on the walls and folding up. It also takes a little longer to heat items up which is to be expected since this is a lower wattage. I think we'll be selling this and getting one that is larger with higher wattage. I've only been using this for a week and there have been no issues with it functioning, but it's a little too small for our needs.
1161	B000EMSVKK	R3I9ZLNONUK06Z	Just Like Home: Microwave Oven	18 month old loves it!	Boys love buttons, and toddlers love to "help" around the house, so this little microwave is a big favorite of my son.  It has buttons with food pictures that you press to choose a time, and then you press start.  The turntable spins, and it light up, whirrs and beeps just like the real thing.  This set comes with enough dishes and play food to get started playing kitchen.  I paid 15 at TRU, which feels like about the right price to me.
